,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Starward Unexpeated,50,70,80.95
1,Starward Trio Set,43.7,60,56.95
2,Starward Left Field Single Malt,40,70,34.95
3,Starward Nova,41,70,44.75
4,Hellyers Road Pinot Noir Finish,46.2,70,73.75
5,Starward Ginger Beer Cask,48,50,94.95
6,Morris Signature Australian Single Malt,40,70,51.95
7,Lark 2016,60.2,70,250
8,Hellyers Road Twin Oak,48.9,70,81.95
9,The Gospel Straight Rye,45,70,49.95
10,Morris Muscat Barrel Australian Single Malt,46,70,74.75
11,Starward 2016,57,70,84.95
12,Starward Dolce 2016 Single Malt,48,50,69.95
13,Starward Fortis Single Malt,50,70,59.95
14,Bakery Hill Batch 1,50,50,127
15,Tin Shed Distilling Co Batch 1,48,50,90.95
16,Black Gate Batch 1 3 Year Old,46,50,99.95
17,Starward Ginger Beer Cask,48,50,94.95
18,Limeburners Darkest Winter,63.5,70,230
19,Bakery Hill Peated,46,50,115
20,Bakery Hill Classic,46,50,138
21,Bakery Hill Double Wood,46,50,140
22,Hellyers Road Original 'Roaring 40s',40,70,53.45
23,Hellyers Road Peated,46.2,70,73.75
24,Starward Unexpeated,50,70,80.95
25,Starward Trio Set,43.7,60,56.95
26,Starward Left Field Single Malt,40,70,34.95
27,Starward Nova,41,70,44.75
28,Hellyers Road Pinot Noir Finish,46.2,70,73.75
29,Starward Ginger Beer Cask,48,50,94.95
30,Morris Signature Australian Single Malt,40,70,51.95
31,Lark 2016,60.2,70,250
32,Hellyers Road Twin Oak,48.9,70,81.95
33,The Gospel Straight Rye,45,70,49.95
34,Morris Muscat Barrel Australian Single Malt,46,70,74.75
35,Starward 2016,57,70,84.95
36,Starward Dolce 2016 Single Malt,48,50,69.95
37,Starward Fortis Single Malt,50,70,59.95
38,Bakery Hill Batch 1,50,50,127
39,Tin Shed Distilling Co Batch 1,48,50,90.95
40,Black Gate Batch 1 3 Year Old,46,50,99.95
41,Starward Ginger Beer Cask,48,50,94.95
42,Limeburners Darkest Winter,63.5,70,230
43,Bakery Hill Peated,46,50,115
44,Bakery Hill Classic,46,50,138
45,Bakery Hill Double Wood,46,50,140
46,Hellyers Road Original 'Roaring 40s',40,70,53.45
47,Hellyers Road Peated,46.2,70,73.75
48,Starward Unexpeated,50,70,80.95
49,Starward Trio Set,43.7,60,56.95
50,Starward Left Field Single Malt,40,70,34.95
51,Starward Nova,41,70,44.75
52,Hellyers Road Pinot Noir Finish,46.2,70,73.75
53,Starward Ginger Beer Cask,48,50,94.95
54,Morris Signature Australian Single Malt,40,70,51.95
55,Lark 2016,60.2,70,250
56,Hellyers Road Twin Oak,48.9,70,81.95
57,The Gospel Straight Rye,45,70,49.95
58,Morris Muscat Barrel Australian Single Malt,46,70,74.75
59,Starward 2016,57,70,84.95
60,Starward Dolce 2016 Single Malt,48,50,69.95
61,Starward Fortis Single Malt,50,70,59.95
62,Bakery Hill Batch 1,50,50,127
63,Tin Shed Distilling Co Batch 1,48,50,90.95
64,Black Gate Batch 1 3 Year Old,46,50,99.95
65,Starward Ginger Beer Cask,48,50,94.95
66,Limeburners Darkest Winter,63.5,70,230
67,Bakery Hill Peated,46,50,115
68,Bakery Hill Classic,46,50,138
69,Bakery Hill Double Wood,46,50,140
70,Hellyers Road Original 'Roaring 40s',40,70,53.45
71,Hellyers Road Peated,46.2,70,73.75
72,Starward Unexpeated,50,70,80.95
73,Starward Trio Set,43.7,60,56.95
74,Starward Left Field Single Malt,40,70,34.95
75,Starward Nova,41,70,44.75
76,Hellyers Road Pinot Noir Finish,46.2,70,73.75
77,Starward Ginger Beer Cask,48,50,94.95
