,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Glenallachie Miniature Gift Set,49,15,29.95
1,The Epicurean Miniature,46.2,5,5.75
2,Douglas Laing Remarkable Regional Malts Mini Pack,46.4,30,34.25
3,Poit Dhubh 12 Year Old Miniature,43,5,6.25
4,Sheep Dip Blended Malt Miniature,40,5,4.45
5,Monkey Shoulder Miniature,40,5,4.95
6,Douglas Laing Big Peat Miniature,46,5,5.75
7,Douglas Laing Timorous Beastie Miniature,46.8,5,6.25
8,Poit Dhubh 21 Year Old Miniature,43,5,8.25
9,MacNair's 12 Year Old,46,5,6.45
10,Compass Box Malt Whisky Collection,45,15,23.95
11,Wemyss Malts Spice King 8 Year Old Miniature,40,5,5.75
12,Poit Dhubh 8 Year Old Miniature,43,5,5.75
13,Glenallachie Miniature Gift Set,49,15,29.95
14,The Epicurean Miniature,46.2,5,5.75
15,Douglas Laing Remarkable Regional Malts Mini Pack,46.4,30,34.25
16,Poit Dhubh 12 Year Old Miniature,43,5,6.25
17,Sheep Dip Blended Malt Miniature,40,5,4.45
18,Monkey Shoulder Miniature,40,5,4.95
19,Douglas Laing Big Peat Miniature,46,5,5.75
20,Douglas Laing Timorous Beastie Miniature,46.8,5,6.25
21,Poit Dhubh 21 Year Old Miniature,43,5,8.25
22,MacNair's 12 Year Old,46,5,6.45
23,Compass Box Malt Whisky Collection,45,15,23.95
24,Wemyss Malts Spice King 8 Year Old Miniature,40,5,5.75
25,Poit Dhubh 8 Year Old Miniature,43,5,5.75
26,Glenallachie Miniature Gift Set,49,15,29.95
27,The Epicurean Miniature,46.2,5,5.75
28,Douglas Laing Remarkable Regional Malts Mini Pack,46.4,30,34.25
29,Poit Dhubh 12 Year Old Miniature,43,5,6.25
30,Sheep Dip Blended Malt Miniature,40,5,4.45
31,Monkey Shoulder Miniature,40,5,4.95
32,Douglas Laing Big Peat Miniature,46,5,5.75
33,Douglas Laing Timorous Beastie Miniature,46.8,5,6.25
34,Poit Dhubh 21 Year Old Miniature,43,5,8.25
35,MacNair's 12 Year Old,46,5,6.45
36,Compass Box Malt Whisky Collection,45,15,23.95
37,Wemyss Malts Spice King 8 Year Old Miniature,40,5,5.75
38,Poit Dhubh 8 Year Old Miniature,43,5,5.75
39,Glenallachie Miniature Gift Set,49,15,29.95
40,The Epicurean Miniature,46.2,5,5.75
41,Douglas Laing Remarkable Regional Malts Mini Pack,46.4,30,34.25
42,Poit Dhubh 12 Year Old Miniature,43,5,6.25
43,Sheep Dip Blended Malt Miniature,40,5,4.45
44,Monkey Shoulder Miniature,40,5,4.95
45,Douglas Laing Big Peat Miniature,46,5,5.75
46,Douglas Laing Timorous Beastie Miniature,46.8,5,6.25
47,Poit Dhubh 21 Year Old Miniature,43,5,8.25
48,MacNair's 12 Year Old,46,5,6.45
49,Compass Box Malt Whisky Collection,45,15,23.95
50,Wemyss Malts Spice King 8 Year Old Miniature,40,5,5.75
51,Poit Dhubh 8 Year Old Miniature,43,5,5.75
52,Glenallachie Miniature Gift Set,49,15,29.95
53,The Epicurean Miniature,46.2,5,5.75
54,Douglas Laing Remarkable Regional Malts Mini Pack,46.4,30,34.25
55,Poit Dhubh 12 Year Old Miniature,43,5,6.25
56,Sheep Dip Blended Malt Miniature,40,5,4.45
57,Monkey Shoulder Miniature,40,5,4.95
58,Douglas Laing Big Peat Miniature,46,5,5.75
59,Douglas Laing Timorous Beastie Miniature,46.8,5,6.25
60,Poit Dhubh 21 Year Old Miniature,43,5,8.25
61,MacNair's 12 Year Old,46,5,6.45
62,Compass Box Malt Whisky Collection,45,15,23.95
63,Wemyss Malts Spice King 8 Year Old Miniature,40,5,5.75
64,Poit Dhubh 8 Year Old Miniature,43,5,5.75
65,Glenallachie Miniature Gift Set,49,15,29.95
66,The Epicurean Miniature,46.2,5,5.75
67,Douglas Laing Remarkable Regional Malts Mini Pack,46.4,30,34.25
68,Poit Dhubh 12 Year Old Miniature,43,5,6.25
69,Sheep Dip Blended Malt Miniature,40,5,4.45
70,Monkey Shoulder Miniature,40,5,4.95
71,Douglas Laing Big Peat Miniature,46,5,5.75
72,Douglas Laing Timorous Beastie Miniature,46.8,5,6.25
73,Poit Dhubh 21 Year Old Miniature,43,5,8.25
74,MacNair's 12 Year Old,46,5,6.45
75,Compass Box Malt Whisky Collection,45,15,23.95
76,Wemyss Malts Spice King 8 Year Old Miniature,40,5,5.75
77,Poit Dhubh 8 Year Old Miniature,43,5,5.75
