,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Peat (Pure Islay) Sample,45,3,5.25
1,Compass Box Orchard House Sample,46,3,4.95
2,Monkey Shoulder Sample,40,3,4.25
3,Compass Box Canvas Sample,46,3,8.75
4,Compass Box The Story of the Spaniard Sample,43,3,5.75
5,Compass Box The Peat Monster Sample,46,3,5.45
6,Compass Box The Spice Tree Sample,46,3,5.45
7,Peat Full Proof Sample,59.3,3,5.95
8,Angels’ Nectar Blended Malt Original Sample,40,3,4.75
9,Blue Hanger 11th Release Sample,45.8,3,7.75
10,Collectivum XXVIII Sample,57.3,3,11.95
11,Cladach Blended Malt Sample,57.1,3,12.75
12,Peat (Pure Islay) Sample,45,3,5.25
13,Compass Box Orchard House Sample,46,3,4.95
14,Monkey Shoulder Sample,40,3,4.25
15,Compass Box Canvas Sample,46,3,8.75
16,Compass Box The Story of the Spaniard Sample,43,3,5.75
17,Compass Box The Peat Monster Sample,46,3,5.45
18,Compass Box The Spice Tree Sample,46,3,5.45
19,Peat Full Proof Sample,59.3,3,5.95
20,Angels’ Nectar Blended Malt Original Sample,40,3,4.75
21,Blue Hanger 11th Release Sample,45.8,3,7.75
22,Collectivum XXVIII Sample,57.3,3,11.95
23,Cladach Blended Malt Sample,57.1,3,12.75
24,Peat (Pure Islay) Sample,45,3,5.25
25,Compass Box Orchard House Sample,46,3,4.95
26,Monkey Shoulder Sample,40,3,4.25
27,Compass Box Canvas Sample,46,3,8.75
28,Compass Box The Story of the Spaniard Sample,43,3,5.75
29,Compass Box The Peat Monster Sample,46,3,5.45
30,Compass Box The Spice Tree Sample,46,3,5.45
31,Peat Full Proof Sample,59.3,3,5.95
32,Angels’ Nectar Blended Malt Original Sample,40,3,4.75
33,Blue Hanger 11th Release Sample,45.8,3,7.75
34,Collectivum XXVIII Sample,57.3,3,11.95
35,Cladach Blended Malt Sample,57.1,3,12.75
36,Peat (Pure Islay) Sample,45,3,5.25
37,Compass Box Orchard House Sample,46,3,4.95
38,Monkey Shoulder Sample,40,3,4.25
39,Compass Box Canvas Sample,46,3,8.75
40,Compass Box The Story of the Spaniard Sample,43,3,5.75
41,Compass Box The Peat Monster Sample,46,3,5.45
42,Compass Box The Spice Tree Sample,46,3,5.45
43,Peat Full Proof Sample,59.3,3,5.95
44,Angels’ Nectar Blended Malt Original Sample,40,3,4.75
45,Blue Hanger 11th Release Sample,45.8,3,7.75
46,Collectivum XXVIII Sample,57.3,3,11.95
47,Cladach Blended Malt Sample,57.1,3,12.75
48,Peat (Pure Islay) Sample,45,3,5.25
49,Compass Box Orchard House Sample,46,3,4.95
50,Monkey Shoulder Sample,40,3,4.25
51,Compass Box Canvas Sample,46,3,8.75
52,Compass Box The Story of the Spaniard Sample,43,3,5.75
53,Compass Box The Peat Monster Sample,46,3,5.45
54,Compass Box The Spice Tree Sample,46,3,5.45
55,Peat Full Proof Sample,59.3,3,5.95
56,Angels’ Nectar Blended Malt Original Sample,40,3,4.75
57,Blue Hanger 11th Release Sample,45.8,3,7.75
58,Collectivum XXVIII Sample,57.3,3,11.95
59,Cladach Blended Malt Sample,57.1,3,12.75
60,Peat (Pure Islay) Sample,45,3,5.25
61,Compass Box Orchard House Sample,46,3,4.95
62,Monkey Shoulder Sample,40,3,4.25
63,Compass Box Canvas Sample,46,3,8.75
64,Compass Box The Story of the Spaniard Sample,43,3,5.75
65,Compass Box The Peat Monster Sample,46,3,5.45
66,Compass Box The Spice Tree Sample,46,3,5.45
67,Peat Full Proof Sample,59.3,3,5.95
68,Angels’ Nectar Blended Malt Original Sample,40,3,4.75
69,Blue Hanger 11th Release Sample,45.8,3,7.75
70,Collectivum XXVIII Sample,57.3,3,11.95
71,Cladach Blended Malt Sample,57.1,3,12.75
