,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Monkey Shoulder,40,70,27.75
1,Johnnie Walker Green Label 15 Year Old,43,70,41.95
2,Compass Box Orchard House,46,70,41.75
3,Compass Box No Name No.3,48.9,70,98.95
4,Peat (Pure Islay),45,50,29.95
5,Copper Dog,40,70,29.95
6,Personalised Blended Malt 45 Years Old,44.9,70,450
7,Mossburn Island Blended Malt,46,70,42.75
8,Big Peat,46,70,36.45
9,Caisteal Chamuis Blended Malt,46,70,38.95
10,Scallywag 10 Year Old,46,70,46.95
11,Scallywag Speyside Blended Malt,46,70,36.45
12,Compass Box The Spice Tree,46,70,48.25
13,Compass Box Canvas,46,70,99.95
14,Naked Malt Blended Malt,40,70,26.95
15,Gladstone Axe Black Axe Blended Malt Scotch,41,70,29.95
16,Compass Box The Story of the Spaniard,43,70,51.25
17,Smokey Monkey Shoulder,40,70,32.45
18,Highland Harvest,40,70,27.95
19,Caisteal Chamuis 12 Year Old Blended Malt,46,70,43.95
20,Timorous Beastie 10 Year Old,46.8,70,41.95
21,Big Peat 12 Year Old,46,70,50.95
22,Rock Island Sherry Limited Edition,46.8,70,45.95
23,Shackleton Blended Malt,40,70,34.95
24,Monkey Shoulder,40,70,27.75
25,Johnnie Walker Green Label 15 Year Old,43,70,41.95
26,Compass Box Orchard House,46,70,41.75
27,Compass Box No Name No.3,48.9,70,98.95
28,Peat (Pure Islay),45,50,29.95
29,Copper Dog,40,70,29.95
30,Personalised Blended Malt 45 Years Old,44.9,70,450
31,Mossburn Island Blended Malt,46,70,42.75
32,Big Peat,46,70,36.45
33,Caisteal Chamuis Blended Malt,46,70,38.95
34,Scallywag 10 Year Old,46,70,46.95
35,Scallywag Speyside Blended Malt,46,70,36.45
36,Compass Box The Spice Tree,46,70,48.25
37,Compass Box Canvas,46,70,99.95
38,Naked Malt Blended Malt,40,70,26.95
39,Gladstone Axe Black Axe Blended Malt Scotch,41,70,29.95
40,Compass Box The Story of the Spaniard,43,70,51.25
41,Smokey Monkey Shoulder,40,70,32.45
42,Highland Harvest,40,70,27.95
43,Caisteal Chamuis 12 Year Old Blended Malt,46,70,43.95
44,Timorous Beastie 10 Year Old,46.8,70,41.95
45,Big Peat 12 Year Old,46,70,50.95
46,Rock Island Sherry Limited Edition,46.8,70,45.95
47,Shackleton Blended Malt,40,70,34.95
48,Peat – Full Proof,59.3,50,38.95
49,Wemyss Malts The Hive,46,70,37.95
50,Timorous Beastie Highland Blended Malt,46.8,70,36.45
51,Monkey Shoulder 'Gorilla' plus Cradle,40,450,325
52,Timorous Beastie 20 Year Old,42.7,70,99.95
53,Big Peat Blended Malt,52.8,70,52.95
54,Famous Grouse 1989,40,70,150
55,Big Peat The Edinburgh Edition 2,48,70,45.95
56,Compass Box Menagerie,46,70,89.95
57,Rock Island 10 Year Old,46,70,45.75
58,Rock Island,46.8,70,36.45
59,Compass Box Flaming Heart,48.9,150,250
60,Berry Bros & Rudd Sherry Cask Matured Blended Malt,44.2,70,34.95
61,Berry Bros & Rudd Islay Blended Malt,44.2,70,34.45
62,Berry Bros & Rudd Speyside Reserve Blended Malt,44.2,70,34.45
63,Wemyss Malts Nectar Grove,46,70,46.45
64,Collectivum XXVIII,57.3,70,150
65,Smokey Joe,46,70,36.25
66,Poit Dhubh 21 Year Old,43,70,71.75
67,Poit Dhubh 12 Year Old,43,70,42.95
68,Compass Box The Peat Monster,46,70,46.75
69,Monkey Shoulder,40,20,12.95
70,Compass Box The Peat Monster,46,70,59.95
71,Mackintosh Blended Malt,46,70,37.75
72,The Epicurean 12 Year Old,46,70,45.95
73,Old Perth 12 Year Old,46,70,49.95
74,Westport 21 Year Old Blended Malt,49.7,50,137
75,MacDonals's Glencoe 8 Year Old,57,75,135
76,Famous Grouse,40,70,130
77,Gladstone Axe American Oak Blended Malt Scotch,41,70,29.95
78,Big Peat Peatrichor Edition,58.3,70,46.95
79,The Six Isles Batch Strength,58,70,47.95
80,The Six Isles Voyager,46,70,34.95
81,The Gauldrons,46.2,70,49.95
82,Williamson 2005 Islay Blended Malt,56.5,70,130
83,Blended Malt 2009,65.4,70,74.95
84,Angels' Nectar Blended Malt Original,40,70,35.25
85,Wemyss Blooming Gorse,46,70,43.75
86,Wemyss Malts Flaming Feast,46,70,45.75
87,Compass Box The Circle,46,70,120
88,Pete'Series Blended Islay Malt,46,70,59.95
89,King of Trees Highland 10 Year Old,46.5,70,73.95
90,Wemyss Spice King Cask Strength Batch No 002,58,70,45.75
91,Wemyss Malts The Hive Cask Strength Batch No 002,55.5,70,44.95
92,Compass Box Juveniles,46,70,89.95
93,Old Bannockburn (Deanston),40,75,199
94,Old Perth Original,46,70,34.95
95,Berry Bros & Rudd Peated Cask Matured Blended Malt,44.2,70,34.45
96,The E&K 5 Year Old Malt Whisky,57.8,70,150
97,Glencoe 8 Year Old,43,75,350
98,Collection Moon 8 Year Old,43,70,299
99,Collection Moon 12 Year Old,45,70,299
100,Sandy Macdonald,40,75,750
101,The Exceptional Malt Second Edition,43,70,83.95
102,The Epicurean,46.2,70,35.45
103,Wemyss Smoky Shores,46,70,48.95
104,Wemyss Malts Peat Chimney,46,70,37.95
105,Wemyss Malts Spice King,46,70,37.95
106,Ghosted Reserve 26 Year Old,42,70,375
107,Copper Pot 8 Year Old,40,75,59.95
108,Chivas Century Of Malts,43,75,250
109,Wemyss Malts Spice King 12 Year Old,40,70,42.45
110,Strathconon 12 Year Old,40,75.7,225
111,Sheep Dip Blended Malt,40,70,28.95
112,Poit Dhubh 8 Year Old,43,70,37.95
113,Famous Grouse 1989,40,70,140
114,Monkey Shoulder,40,70,27.75
115,Johnnie Walker Green Label 15 Year Old,43,70,41.95
116,Compass Box Orchard House,46,70,41.75
117,Compass Box No Name No.3,48.9,70,98.95
118,Peat (Pure Islay),45,50,29.95
119,Copper Dog,40,70,29.95
120,Personalised Blended Malt 45 Years Old,44.9,70,450
121,Mossburn Island Blended Malt,46,70,42.75
122,Big Peat,46,70,36.45
123,Caisteal Chamuis Blended Malt,46,70,38.95
124,Scallywag 10 Year Old,46,70,46.95
125,Scallywag Speyside Blended Malt,46,70,36.45
126,Compass Box The Spice Tree,46,70,48.25
127,Compass Box Canvas,46,70,99.95
128,Naked Malt Blended Malt,40,70,26.95
129,Gladstone Axe Black Axe Blended Malt Scotch,41,70,29.95
130,Compass Box The Story of the Spaniard,43,70,51.25
131,Smokey Monkey Shoulder,40,70,32.45
132,Highland Harvest,40,70,27.95
133,Caisteal Chamuis 12 Year Old Blended Malt,46,70,43.95
