,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Teacher's Highland Cream Miniature,40,5,2.25
1,Johnnie Walker Red Label Miniature,40,5,2.45
2,Famous Grouse,40,5,2.10
3,Chivas Regal Extra Miniature,40,5,4.45
4,Johnnie Walker Taster Pack (Red,40,15,11.94
5,Nevis Dew 12 Year Old,40,5,4.75
6,Black & White Blended Whisky,40,5,2.95
7,Pig's Nose Miniature,40,5,4.25
8,Nomad Outland Whisky Miniature,41.3,5,4.95
9,Robert Burns (Arran),40,5,3.95
10,Johnnie Walker Black Label 12 Year Old Miniature,40,5,3.45
11,Black Bottle,40,5,2.95
12,Chivas Regal 12 Year Old,40,5,4.75
13,Bell's Original,40,5,2.25
14,Chivas Blend at Home Kit,40,30,29.95
15,Teacher's Highland Cream Miniature,40,5,2.25
16,Johnnie Walker Red Label Miniature,40,5,2.45
17,Famous Grouse,40,5,2.10
18,Chivas Regal Extra Miniature,40,5,4.45
19,Johnnie Walker Taster Pack (Red,40,15,11.94
20,Nevis Dew 12 Year Old,40,5,4.75
21,Black & White Blended Whisky,40,5,2.95
22,Pig's Nose Miniature,40,5,4.25
23,Nomad Outland Whisky Miniature,41.3,5,4.95
24,Robert Burns (Arran),40,5,3.95
25,Johnnie Walker Black Label 12 Year Old Miniature,40,5,3.45
26,Black Bottle,40,5,2.95
27,Chivas Regal 12 Year Old,40,5,4.75
28,Bell's Original,40,5,2.25
29,Chivas Blend at Home Kit,40,30,29.95
30,Teacher's Highland Cream Miniature,40,5,2.25
31,Johnnie Walker Red Label Miniature,40,5,2.45
32,Famous Grouse,40,5,2.10
33,Chivas Regal Extra Miniature,40,5,4.45
34,Johnnie Walker Taster Pack (Red,40,15,11.94
35,Nevis Dew 12 Year Old,40,5,4.75
36,Black & White Blended Whisky,40,5,2.95
37,Pig's Nose Miniature,40,5,4.25
38,Nomad Outland Whisky Miniature,41.3,5,4.95
39,Robert Burns (Arran),40,5,3.95
40,Johnnie Walker Black Label 12 Year Old Miniature,40,5,3.45
41,Black Bottle,40,5,2.95
42,Chivas Regal 12 Year Old,40,5,4.75
43,Bell's Original,40,5,2.25
44,Chivas Blend at Home Kit,40,30,29.95
45,Teacher's Highland Cream Miniature,40,5,2.25
46,Johnnie Walker Red Label Miniature,40,5,2.45
47,Famous Grouse,40,5,2.10
48,Chivas Regal Extra Miniature,40,5,4.45
49,Johnnie Walker Taster Pack (Red,40,15,11.94
50,Nevis Dew 12 Year Old,40,5,4.75
51,Black & White Blended Whisky,40,5,2.95
52,Pig's Nose Miniature,40,5,4.25
53,Nomad Outland Whisky Miniature,41.3,5,4.95
54,Robert Burns (Arran),40,5,3.95
55,Johnnie Walker Black Label 12 Year Old Miniature,40,5,3.45
56,Black Bottle,40,5,2.95
57,Chivas Regal 12 Year Old,40,5,4.75
58,Bell's Original,40,5,2.25
59,Chivas Blend at Home Kit,40,30,29.95
60,Teacher's Highland Cream Miniature,40,5,2.25
61,Johnnie Walker Red Label Miniature,40,5,2.45
62,Famous Grouse,40,5,2.10
63,Chivas Regal Extra Miniature,40,5,4.45
64,Johnnie Walker Taster Pack (Red,40,15,11.94
65,Nevis Dew 12 Year Old,40,5,4.75
66,Black & White Blended Whisky,40,5,2.95
67,Pig's Nose Miniature,40,5,4.25
68,Nomad Outland Whisky Miniature,41.3,5,4.95
69,Robert Burns (Arran),40,5,3.95
70,Johnnie Walker Black Label 12 Year Old Miniature,40,5,3.45
71,Black Bottle,40,5,2.95
72,Chivas Regal 12 Year Old,40,5,4.75
73,Bell's Original,40,5,2.25
74,Chivas Blend at Home Kit,40,30,29.95
75,Teacher's Highland Cream Miniature,40,5,2.25
76,Johnnie Walker Red Label Miniature,40,5,2.45
77,Famous Grouse,40,5,2.10
78,Chivas Regal Extra Miniature,40,5,4.45
79,Johnnie Walker Taster Pack (Red,40,15,11.94
80,Nevis Dew 12 Year Old,40,5,4.75
81,Black & White Blended Whisky,40,5,2.95
82,Pig's Nose Miniature,40,5,4.25
83,Nomad Outland Whisky Miniature,41.3,5,4.95
84,Robert Burns (Arran),40,5,3.95
85,Johnnie Walker Black Label 12 Year Old Miniature,40,5,3.45
86,Black Bottle,40,5,2.95
87,Chivas Regal 12 Year Old,40,5,4.75
88,Bell's Original,40,5,2.25
89,Chivas Blend at Home Kit,40,30,29.95
