,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,John Walker & Sons King George V Sample,43,3,37.95
1,Johnnie Walker Private Collection Sample,46.8,3,41.25
2,Compass Box Glasgow Blend Sample,43,3,4.75
3,Compass Box Rogues' Banquet Sample,46,3,14.25
4,Johnnie Walker 18 Year Old Sample,40,3,6.95
5,Compass Box Artist Blend Sample,43,3,4.75
6,Dewar's White Label Sample,45.68,3,84.95
7,White Horse Sample,40,3,3.95
8,Dewar's 8 Year Old Caribbean Smooth Sample,40,3,3.95
9,Peter Dawson Special Sample,40,3,3.95
10,Johnnie Walker Black Label Sample,40,3,4.25
11,Old St Andrews Clubhouse Sample,40,3,4.95
12,John Walker & Sons King George V Sample,43,3,37.95
13,Johnnie Walker Private Collection Sample,46.8,3,41.25
14,Compass Box Glasgow Blend Sample,43,3,4.75
15,Compass Box Rogues' Banquet Sample,46,3,14.25
16,Johnnie Walker 18 Year Old Sample,40,3,6.95
17,Compass Box Artist Blend Sample,43,3,4.75
18,Dewar's White Label Sample,45.68,3,84.95
19,White Horse Sample,40,3,3.95
20,Dewar's 8 Year Old Caribbean Smooth Sample,40,3,3.95
21,Peter Dawson Special Sample,40,3,3.95
22,Johnnie Walker Black Label Sample,40,3,4.25
23,Old St Andrews Clubhouse Sample,40,3,4.95
24,John Walker & Sons King George V Sample,43,3,37.95
25,Johnnie Walker Private Collection Sample,46.8,3,41.25
26,Compass Box Glasgow Blend Sample,43,3,4.75
27,Compass Box Rogues' Banquet Sample,46,3,14.25
28,Johnnie Walker 18 Year Old Sample,40,3,6.95
29,Compass Box Artist Blend Sample,43,3,4.75
30,Dewar's White Label Sample,45.68,3,84.95
31,White Horse Sample,40,3,3.95
32,Dewar's 8 Year Old Caribbean Smooth Sample,40,3,3.95
33,Peter Dawson Special Sample,40,3,3.95
34,Johnnie Walker Black Label Sample,40,3,4.25
35,Old St Andrews Clubhouse Sample,40,3,4.95
36,John Walker & Sons King George V Sample,43,3,37.95
37,Johnnie Walker Private Collection Sample,46.8,3,41.25
38,Compass Box Glasgow Blend Sample,43,3,4.75
39,Compass Box Rogues' Banquet Sample,46,3,14.25
40,Johnnie Walker 18 Year Old Sample,40,3,6.95
41,Compass Box Artist Blend Sample,43,3,4.75
42,Dewar's White Label Sample,45.68,3,84.95
43,White Horse Sample,40,3,3.95
44,Dewar's 8 Year Old Caribbean Smooth Sample,40,3,3.95
45,Peter Dawson Special Sample,40,3,3.95
46,Johnnie Walker Black Label Sample,40,3,4.25
47,Old St Andrews Clubhouse Sample,40,3,4.95
48,John Walker & Sons King George V Sample,43,3,37.95
49,Johnnie Walker Private Collection Sample,46.8,3,41.25
50,Compass Box Glasgow Blend Sample,43,3,4.75
51,Compass Box Rogues' Banquet Sample,46,3,14.25
52,Johnnie Walker 18 Year Old Sample,40,3,6.95
53,Compass Box Artist Blend Sample,43,3,4.75
54,Dewar's White Label Sample,45.68,3,84.95
55,White Horse Sample,40,3,3.95
56,Dewar's 8 Year Old Caribbean Smooth Sample,40,3,3.95
57,Peter Dawson Special Sample,40,3,3.95
58,Johnnie Walker Black Label Sample,40,3,4.25
59,Old St Andrews Clubhouse Sample,40,3,4.95
60,John Walker & Sons King George V Sample,43,3,37.95
61,Johnnie Walker Private Collection Sample,46.8,3,41.25
62,Compass Box Glasgow Blend Sample,43,3,4.75
63,Compass Box Rogues' Banquet Sample,46,3,14.25
64,Johnnie Walker 18 Year Old Sample,40,3,6.95
65,Compass Box Artist Blend Sample,43,3,4.75
66,Dewar's White Label Sample,45.68,3,84.95
67,White Horse Sample,40,3,3.95
68,Dewar's 8 Year Old Caribbean Smooth Sample,40,3,3.95
69,Peter Dawson Special Sample,40,3,3.95
70,Johnnie Walker Black Label Sample,40,3,4.25
71,Old St Andrews Clubhouse Sample,40,3,4.95
