,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Johnnie Walker Blue Label,40,70,155
1,Johnnie Walker Gold Label Reserve,40,70,44.45
2,Johnnie Walker Double Black,40,70,32.95
3,Johnnie Walker Black Label 12 Year Old,40,70,27.95
4,J&B Rare,40,70,20.45
5,Vat 69,40,70,25.45
6,Royal Salute 21 Year Old Signature Blend,40,70,125
7,Black & White,40,70,22.95
8,Johnnie Walker Blue Label 200th Anniversary,40,70,180
9,Chivas Regal 18 Year Old,40,70,64.95
10,Cutty Sark Prohibition,50,70,23.95
11,Nomad Outland Whisky,41.3,70,31.45
12,Johnnie Walker Blue Label,40,70,210
13,Johnnie Walker 18 Year Old,40,70,69.95
14,Cutty Sark,40,70,20.45
15,Johnnie Walker Black Label 12 Year Old,40,70,29.95
16,Famous Grouse,40,70,16.75
17,Black Bottle Island Smoke,46.3,70,25.45
18,Johnnie Walker Sweet Peat,40.8,50,26.95
19,Famous Grouse Smoky Black,40,70,18.95
20,Teacher's Highland Cream,40,70,17.95
21,Haig Gold Label,40,113,34.95
22,Black Bottle Double Cask,46.3,70,25.45
23,Blend 1980,46.2,70,240
24,Johnnie Walker Blue Label,40,70,155
25,Johnnie Walker Gold Label Reserve,40,70,44.45
26,Johnnie Walker Double Black,40,70,32.95
27,Johnnie Walker Black Label 12 Year Old,40,70,27.95
28,J&B Rare,40,70,20.45
29,Vat 69,40,70,25.45
30,Royal Salute 21 Year Old Signature Blend,40,70,125
31,Black & White,40,70,22.95
32,Johnnie Walker Blue Label 200th Anniversary,40,70,180
33,Chivas Regal 18 Year Old,40,70,64.95
34,Cutty Sark Prohibition,50,70,23.95
35,Nomad Outland Whisky,41.3,70,31.45
36,Johnnie Walker Blue Label,40,70,210
37,Johnnie Walker 18 Year Old,40,70,69.95
38,Cutty Sark,40,70,20.45
39,Johnnie Walker Black Label 12 Year Old,40,70,29.95
40,Famous Grouse,40,70,16.75
41,Black Bottle Island Smoke,46.3,70,25.45
42,Johnnie Walker Sweet Peat,40.8,50,26.95
43,Famous Grouse Smoky Black,40,70,18.95
44,Teacher's Highland Cream,40,70,17.95
