,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Glen Scotia Victoriana,54.2,70,72.95
1,Glen Scotia 15 Year Old,46,70,64.95
2,Glen Scotia Double Cask,46,70,39.95
3,Glen Scotia 18 Year Old,46,70,110
4,Glen Scotia Double Cask,46,20,20.95
5,Glen Scotia 12 Year Old Seasonal Release,54.7,70,74.95
6,Glen Scotia Tasting Set (Double Cask and 15 Year Old),46,40,43.95
7,Glen Scotia Double Cask,46,20,18.95
8,Springbank 15 Year Old,46,75,"1,800"
9,Springbank 8 Year Old,43,75,"1,500"
10,Springbank 1966,52.1,70,"7,000"
11,Springbank 1979,56.8,75,"3,000"
12,Springbank 12 Year Old,46,75,650
13,Springbank 10 Year Old,40,75.5,850
14,Springbank 1967,52,70,"3,500"
15,Springbank 1975,43,70,"1,000"
16,Springbank 1967,43.4,70,"3,000"
17,Springbank 1967,50.9,75,"3,000"
18,Springbank 1967,43.1,75,"3,750"
19,Springbank 1965,43,70,"2,750"
20,Springbank 1969,41,70,"2,000"
21,Springbank 1966,47.1,70,"6,000"
22,Springbank 18 Year Old,46,70,"3,000"
23,SMWS 27.16 (Springbank),57.8,75,"3,000"
24,Glen Scotia Victoriana,54.2,70,72.95
25,Glen Scotia 15 Year Old,46,70,64.95
26,Glen Scotia Double Cask,46,70,39.95
27,Glen Scotia 18 Year Old,46,70,110
28,Glen Scotia Double Cask,46,20,20.95
29,Glen Scotia 12 Year Old Seasonal Release,54.7,70,74.95
30,Glen Scotia Tasting Set (Double Cask and 15 Year Old),46,40,43.95
31,Glen Scotia Double Cask,46,20,18.95
32,Springbank 15 Year Old,46,75,"1,800"
33,Springbank 8 Year Old,43,75,"1,500"
34,Springbank 1966,52.1,70,"7,000"
35,Springbank 1979,56.8,75,"3,000"
36,Springbank 12 Year Old,46,75,650
37,Springbank 10 Year Old,40,75.5,850
38,Springbank 1967,52,70,"3,500"
39,Springbank 1975,43,70,"1,000"
40,Springbank 1967,43.4,70,"3,000"
41,Springbank 1967,50.9,75,"3,000"
42,Springbank 1967,43.1,75,"3,750"
43,Springbank 1965,43,70,"2,750"
44,Springbank 1969,41,70,"2,000"
45,Springbank 1966,47.1,70,"6,000"
46,Springbank 18 Year Old,46,70,"3,000"
47,SMWS 27.16 (Springbank),57.8,75,"3,000"
48,Springbank 1970,54.4,70,"4,500"
49,Springbank 1969,40.9,70,"3,000"
50,Springbank 1965,50.6,70,"5,000"
51,Glen Scotia 25 Year Old,48.8,70,495
52,Springbank 10 Year Old,46,75,"2,000"
53,Springbank 1965,53.8,70,"5,000"
54,Springbank 20 Year Old,50,75,"2,000"
55,Springbank 12 Year Old,46,75,"2,250"
56,Springbank 1966,61.2,75,"15,000"
57,Glens Extra (Springbank) 8 Year Old,40,75,"1,500"
58,Springbank 1967,46,70,"3,000"
59,Springbank 1966,61.2,75,"15,000"
60,Longrow 1973,46,75,"2,500"
61,Campbeltown 1972,46,70,"2,000"
62,Springbank 1965,46,70,"4,000"
63,Springbank 1967,46,70,"3,000"
64,Springbank 1966,53,70,"7,000"
65,Springbank 1967,46,75,"3,000"
66,Springbank 10 Year Old,43,75,500
67,Springbank 12 Year Old,43,70,550
68,Springbank 25 Year Old,43,75,"1,400"
69,Springbank 1977,57,75,"5,500"
70,Springbank 1966,52.5,70,"6,500"
71,Longrow 1973,46,75,"5,000"
72,Springbank 1967,46,75,"6,000"
73,Springbank 50 Year Old,43,75,"42,000"
74,Springbank 30 Year Old,46,70,"6,500"
75,Springbank 1965,46,75,"6,000"
76,Springbank 1963,46,75,"6,000"
77,Springbank 15 Year Old,46,75,"1,500"
78,Springbank 15 Year Old,46,75,"2,250"
79,Springbank 15 Year Old,46,75,"1,800"
80,Springbank 12 Year Old,46,75,750
81,Springbank 1969,46,70,"3,000"
82,Springbank 30 Year Old,50,70,"2,000"
83,Springbank 1973,57.5,70,"3,000"
84,Springbank 1964,52.2,70,"6,500"
85,Springbank 1964,51.5,75,"5,500"
86,Longrow 1987,45,70,"4,500"
87,Longrow 1974,46,70,"3,000"
88,Longrow 1973,43.2,70,"4,000"
89,Longrow 1974,54.7,70,"3,000"
90,Glen Scotia 1969,50,70,"1,750"
91,Glen Scotia Victoriana,54.2,70,72.95
92,Glen Scotia 15 Year Old,46,70,64.95
93,Glen Scotia Double Cask,46,70,39.95
94,Glen Scotia 18 Year Old,46,70,110
95,Glen Scotia Double Cask,46,20,20.95
96,Glen Scotia 12 Year Old Seasonal Release,54.7,70,74.95
97,Glen Scotia Tasting Set (Double Cask and 15 Year Old),46,40,43.95
98,Glen Scotia Double Cask,46,20,18.95
99,Springbank 15 Year Old,46,75,"1,800"
100,Springbank 8 Year Old,43,75,"1,500"
101,Springbank 1966,52.1,70,"7,000"
102,Springbank 1979,56.8,75,"3,000"
103,Springbank 12 Year Old,46,75,650
104,Springbank 10 Year Old,40,75.5,850
105,Springbank 1967,52,70,"3,500"
106,Springbank 1975,43,70,"1,000"
107,Springbank 1967,43.4,70,"3,000"
108,Springbank 1967,50.9,75,"3,000"
109,Springbank 1967,43.1,75,"3,750"
110,Springbank 1965,43,70,"2,750"
111,Springbank 1969,41,70,"2,000"
112,Springbank 1966,47.1,70,"6,000"
