,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Stauning Smoke Single Malt,47,50,82.95
1,Stauning 2012 Peated Single Malt,48.4,50,82.95
2,Stauning Rye,48,70,56.95
3,Stauning KAOS Whisky,46,70,60.95
4,Thy Spelt Rye Whisky,50,50,77.95
5,Stauning El Clasico,45.7,70,59.95
6,Stauning Bastard,46.3,70,60.95
7,Thy No.13 Stovt Whisky,51,50,120
8,Stauning KAOS Whisky,47.3,50,79.95
9,Stauning Young Rye Whisky 2013,48.4,50,64.95
10,Isfjord Whisky #2,42,50,72.95
11,Isfjord Whisky #1,42,50,72.95
12,Stauning Smoke Single Malt,47,50,82.95
13,Stauning 2012 Peated Single Malt,48.4,50,82.95
14,Stauning Rye,48,70,56.95
15,Stauning KAOS Whisky,46,70,60.95
16,Thy Spelt Rye Whisky,50,50,77.95
17,Stauning El Clasico,45.7,70,59.95
18,Stauning Bastard,46.3,70,60.95
19,Thy No.13 Stovt Whisky,51,50,120
20,Stauning KAOS Whisky,47.3,50,79.95
21,Stauning Young Rye Whisky 2013,48.4,50,64.95
22,Isfjord Whisky #2,42,50,72.95
23,Isfjord Whisky #1,42,50,72.95
24,Stauning Smoke Single Malt,47,50,82.95
25,Stauning 2012 Peated Single Malt,48.4,50,82.95
26,Stauning Rye,48,70,56.95
27,Stauning KAOS Whisky,46,70,60.95
28,Thy Spelt Rye Whisky,50,50,77.95
29,Stauning El Clasico,45.7,70,59.95
30,Stauning Bastard,46.3,70,60.95
31,Thy No.13 Stovt Whisky,51,50,120
32,Stauning KAOS Whisky,47.3,50,79.95
33,Stauning Young Rye Whisky 2013,48.4,50,64.95
34,Isfjord Whisky #2,42,50,72.95
35,Isfjord Whisky #1,42,50,72.95
36,Stauning Smoke Single Malt,47,50,82.95
37,Stauning 2012 Peated Single Malt,48.4,50,82.95
38,Stauning Rye,48,70,56.95
39,Stauning KAOS Whisky,46,70,60.95
40,Thy Spelt Rye Whisky,50,50,77.95
41,Stauning El Clasico,45.7,70,59.95
42,Stauning Bastard,46.3,70,60.95
43,Thy No.13 Stovt Whisky,51,50,120
44,Stauning KAOS Whisky,47.3,50,79.95
45,Stauning Young Rye Whisky 2013,48.4,50,64.95
46,Isfjord Whisky #2,42,50,72.95
47,Isfjord Whisky #1,42,50,72.95
48,Stauning Smoke Single Malt,47,50,82.95
49,Stauning 2012 Peated Single Malt,48.4,50,82.95
50,Stauning Rye,48,70,56.95
51,Stauning KAOS Whisky,46,70,60.95
52,Thy Spelt Rye Whisky,50,50,77.95
53,Stauning El Clasico,45.7,70,59.95
54,Stauning Bastard,46.3,70,60.95
55,Thy No.13 Stovt Whisky,51,50,120
56,Stauning KAOS Whisky,47.3,50,79.95
57,Stauning Young Rye Whisky 2013,48.4,50,64.95
58,Isfjord Whisky #2,42,50,72.95
59,Isfjord Whisky #1,42,50,72.95
60,Stauning Smoke Single Malt,47,50,82.95
61,Stauning 2012 Peated Single Malt,48.4,50,82.95
62,Stauning Rye,48,70,56.95
63,Stauning KAOS Whisky,46,70,60.95
64,Thy Spelt Rye Whisky,50,50,77.95
65,Stauning El Clasico,45.7,70,59.95
66,Stauning Bastard,46.3,70,60.95
67,Thy No.13 Stovt Whisky,51,50,120
68,Stauning KAOS Whisky,47.3,50,79.95
69,Stauning Young Rye Whisky 2013,48.4,50,64.95
70,Isfjord Whisky #2,42,50,72.95
71,Isfjord Whisky #1,42,50,72.95
