,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Zuidam Millstone 1996,46,70,250
1,Millstone 3 Year Old,55,50,46.95
2,Zuidam Dutch Rye Whisky,46,70,65.95
3,Zuidam Millstone 2008,40,70,85.25
4,Zuidam Millstone 2007,43,70,80.75
5,Zuidam Millstone 1996 Single Malt,52.3,70,550
6,Zuidam Millstone 5 Year Old Lightly Peated,40,70,62.95
7,Zuidam Millstone 12 Year Old,46,70,105
8,Zuidam Millstone 100 Rye,50,70,89.95
9,Zuidam Millstone 1996,46,70,250
10,Millstone 3 Year Old,55,50,46.95
11,Zuidam Dutch Rye Whisky,46,70,65.95
12,Zuidam Millstone 2008,40,70,85.25
13,Zuidam Millstone 2007,43,70,80.75
14,Zuidam Millstone 1996 Single Malt,52.3,70,550
15,Zuidam Millstone 5 Year Old Lightly Peated,40,70,62.95
16,Zuidam Millstone 12 Year Old,46,70,105
17,Zuidam Millstone 100 Rye,50,70,89.95
18,Zuidam Millstone 1996,46,70,250
19,Millstone 3 Year Old,55,50,46.95
20,Zuidam Dutch Rye Whisky,46,70,65.95
21,Zuidam Millstone 2008,40,70,85.25
22,Zuidam Millstone 2007,43,70,80.75
23,Zuidam Millstone 1996 Single Malt,52.3,70,550
24,Zuidam Millstone 5 Year Old Lightly Peated,40,70,62.95
25,Zuidam Millstone 12 Year Old,46,70,105
26,Zuidam Millstone 100 Rye,50,70,89.95
27,Zuidam Millstone 1996,46,70,250
28,Millstone 3 Year Old,55,50,46.95
29,Zuidam Dutch Rye Whisky,46,70,65.95
30,Zuidam Millstone 2008,40,70,85.25
31,Zuidam Millstone 2007,43,70,80.75
32,Zuidam Millstone 1996 Single Malt,52.3,70,550
33,Zuidam Millstone 5 Year Old Lightly Peated,40,70,62.95
34,Zuidam Millstone 12 Year Old,46,70,105
35,Zuidam Millstone 100 Rye,50,70,89.95
36,Zuidam Millstone 1996,46,70,250
37,Millstone 3 Year Old,55,50,46.95
38,Zuidam Dutch Rye Whisky,46,70,65.95
39,Zuidam Millstone 2008,40,70,85.25
40,Zuidam Millstone 2007,43,70,80.75
41,Zuidam Millstone 1996 Single Malt,52.3,70,550
42,Zuidam Millstone 5 Year Old Lightly Peated,40,70,62.95
43,Zuidam Millstone 12 Year Old,46,70,105
44,Zuidam Millstone 100 Rye,50,70,89.95
45,Zuidam Millstone 1996,46,70,250
46,Millstone 3 Year Old,55,50,46.95
47,Zuidam Dutch Rye Whisky,46,70,65.95
48,Zuidam Millstone 2008,40,70,85.25
49,Zuidam Millstone 2007,43,70,80.75
50,Zuidam Millstone 1996 Single Malt,52.3,70,550
51,Zuidam Millstone 5 Year Old Lightly Peated,40,70,62.95
52,Zuidam Millstone 12 Year Old,46,70,105
53,Zuidam Millstone 100 Rye,50,70,89.95
