,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,The Lakes The Whiskymaker's Editions Mosaic,46.6,70,79.95
1,Cotswolds Reserve Single Malt,50,70,48.45
2,Filey Bay Moscatel Finish,46,70,58.95
3,Forest Whisky 8 Year Old Blended Malt,47,70,54.95
4,The English 2013,46,70,63.95
5,Masthouse Single Malt Whisky,45,50,37.25
6,The English Gently Smoked Sherry Cask 2012,46,70,63.95
7,The English Smokey Single Malt Whisky,43,70,44.25
8,The English Original Single Malt Whisky,43,70,44.25
9,English Whisky Co. Peated,55.2,70,69.95
10,Masthouse Grain Whisky,42,50,35.95
11,The English Original Single Malt Whisky,43,20,18.95
12,Filey Bay IPA Cask Finish,46,70,58.95
13,Cotswolds Sherry Cask Single Malt,57.4,70,63.95
14,Cotswolds 3 Year Old,50.4,50,53.75
15,Oxford Rye Whisky 002,47.4,70,94.95
16,The One Orange Wine Cask Finish,46.6,70,43.95
17,The One Moscatel Cask Finish,46.6,70,43.95
18,The One Sherry Cask Finish,46.6,70,43.95
19,The One Fine Blended Whisky,46.6,70,37.25
20,Masthouse Single Malt Whisky 2017,45,50,39.95
21,Filey Bay STR Wine Cask Finish,46,70,58.95
22,Filey Bay STR Wine Cask Finish,46,70,58.95
23,The English 2012,46,70,63.95
24,The Lakes The Whiskymaker's Editions Mosaic,46.6,70,79.95
25,Cotswolds Reserve Single Malt,50,70,48.45
26,Filey Bay Moscatel Finish,46,70,58.95
27,Forest Whisky 8 Year Old Blended Malt,47,70,54.95
28,The English 2013,46,70,63.95
29,Masthouse Single Malt Whisky,45,50,37.25
30,The English Gently Smoked Sherry Cask 2012,46,70,63.95
31,The English Smokey Single Malt Whisky,43,70,44.25
32,The English Original Single Malt Whisky,43,70,44.25
33,English Whisky Co. Peated,55.2,70,69.95
34,Masthouse Grain Whisky,42,50,35.95
35,The English Original Single Malt Whisky,43,20,18.95
36,Filey Bay IPA Cask Finish,46,70,58.95
37,Cotswolds Sherry Cask Single Malt,57.4,70,63.95
38,Cotswolds 3 Year Old,50.4,50,53.75
39,Oxford Rye Whisky 002,47.4,70,94.95
40,The One Orange Wine Cask Finish,46.6,70,43.95
41,The One Moscatel Cask Finish,46.6,70,43.95
42,The One Sherry Cask Finish,46.6,70,43.95
43,The One Fine Blended Whisky,46.6,70,37.25
44,Masthouse Single Malt Whisky 2017,45,50,39.95
45,Filey Bay STR Wine Cask Finish,46,70,58.95
46,Filey Bay STR Wine Cask Finish,46,70,58.95
47,The English 2012,46,70,63.95
48,Masthouse Single Malt Whisky,45,50,38.95
49,Cotswolds Signature Single Malt,46,70,41.95
50,The English Peated 2009,51.4,70,83.95
51,The English 2016,52.6,70,73.95
52,The Norfolk Parched Single Grain,45,50,47.95
53,The English 11 Year Old,46,70,58.45
54,The English Original Single Malt Whisky,43,20,32.95
55,Cotswolds Founder's Choice (59.1%),59.1,70,62.95
56,Oxford Heritage Corn Whisky,50.44,50,89.95
57,Oxford Rye Whisky 004 Graduate,51.2,70,89.95
58,Oxford Rye Whisky 003 Moscatel De Setubal,51.2,70,115
59,The English 2010 Heavily Peated,43,70,55.25
60,Bimber Apogee XII,46.3,70,59.95
61,East London Liquor Co Single Malt,48,70,79.95
62,East London Liquor Co & Sonoma Distilling Co Blend,48,70,79.95
63,Oxford Artisan Whisky 3 Year Old,50,50,123
64,The One Port Cask Finish,46.6,70,43.95
65,Filey Bay Flagship,46,70,52.95
66,East London Liquor Co London Rye Whisky,47.2,70,79.95
67,Cotswolds Peated Cask (60.2%),60.2,70,62.95
68,Sacred Peated English Whisky,48,70,49.95
