,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Muteman Rye Whiskey,40,50,44.75
1,Helsinki Whiskey Rum Cask Rye Malt,47.5,50,62.45
2,Helsinki Whiskey Rye Malt,47.5,50,51.45
3,Muteman Rye Whiskey,40,50,44.75
4,Helsinki Whiskey Rum Cask Rye Malt,47.5,50,62.45
5,Helsinki Whiskey Rye Malt,47.5,50,51.45
6,Muteman Rye Whiskey,40,50,44.75
7,Helsinki Whiskey Rum Cask Rye Malt,47.5,50,62.45
8,Helsinki Whiskey Rye Malt,47.5,50,51.45
9,Muteman Rye Whiskey,40,50,44.75
10,Helsinki Whiskey Rum Cask Rye Malt,47.5,50,62.45
11,Helsinki Whiskey Rye Malt,47.5,50,51.45
12,Muteman Rye Whiskey,40,50,44.75
13,Helsinki Whiskey Rum Cask Rye Malt,47.5,50,62.45
14,Helsinki Whiskey Rye Malt,47.5,50,51.45
15,Muteman Rye Whiskey,40,50,44.75
16,Helsinki Whiskey Rum Cask Rye Malt,47.5,50,62.45
17,Helsinki Whiskey Rye Malt,47.5,50,51.45
