,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Brenne Estate Cask French Single Malt,40,70,55.75
1,Kornog Peated French Single Malt Whisky,46,70,81.25
2,Armorik 10 Year Old,46,70,53.95
3,Armorik Yeun Elez Jobic,46,70,53.95
4,Wambrechies Sherry Cask Single Malt,49.9,70,76.95
5,Wambrechies Madeira Cask Single Malt,44.5,70,74.95
6,Eddu 2011,48,70,110
7,Glann Ar Mor,46,70,77.75
8,Glann Ar Mor 2010,51,70,125
9,Hepp 2014,45,70,79.95
10,Castan-Vilanova 2017,49,70,79.95
11,Domaine Des Hautes Glaces 2016,55.3,70,120
12,Michel Couvreur Special Vatting Peaty Malt,45,70,134
13,Michel Couvreur Candid Malt,49,70,102
14,Armorik Sherry Cask Single Malt,46,70,44.95
15,Armorik Classic,46,70,38.95
16,Armorik Double Maturation,46,70,46.95
17,Brenne Estate Cask French Single Malt,40,70,55.75
18,Kornog Peated French Single Malt Whisky,46,70,81.25
19,Armorik 10 Year Old,46,70,53.95
20,Armorik Yeun Elez Jobic,46,70,53.95
21,Wambrechies Sherry Cask Single Malt,49.9,70,76.95
22,Wambrechies Madeira Cask Single Malt,44.5,70,74.95
23,Eddu 2011,48,70,110
24,Glann Ar Mor,46,70,77.75
25,Glann Ar Mor 2010,51,70,125
26,Hepp 2014,45,70,79.95
27,Castan-Vilanova 2017,49,70,79.95
28,Domaine Des Hautes Glaces 2016,55.3,70,120
29,Michel Couvreur Special Vatting Peaty Malt,45,70,134
30,Michel Couvreur Candid Malt,49,70,102
31,Armorik Sherry Cask Single Malt,46,70,44.95
32,Armorik Classic,46,70,38.95
33,Armorik Double Maturation,46,70,46.95
34,Brenne Estate Cask French Single Malt,40,70,55.75
35,Kornog Peated French Single Malt Whisky,46,70,81.25
36,Armorik 10 Year Old,46,70,53.95
37,Armorik Yeun Elez Jobic,46,70,53.95
38,Wambrechies Sherry Cask Single Malt,49.9,70,76.95
39,Wambrechies Madeira Cask Single Malt,44.5,70,74.95
40,Eddu 2011,48,70,110
41,Glann Ar Mor,46,70,77.75
42,Glann Ar Mor 2010,51,70,125
43,Hepp 2014,45,70,79.95
44,Castan-Vilanova 2017,49,70,79.95
45,Domaine Des Hautes Glaces 2016,55.3,70,120
46,Michel Couvreur Special Vatting Peaty Malt,45,70,134
47,Michel Couvreur Candid Malt,49,70,102
48,Armorik Sherry Cask Single Malt,46,70,44.95
49,Armorik Classic,46,70,38.95
50,Armorik Double Maturation,46,70,46.95
51,Brenne Estate Cask French Single Malt,40,70,55.75
52,Kornog Peated French Single Malt Whisky,46,70,81.25
53,Armorik 10 Year Old,46,70,53.95
54,Armorik Yeun Elez Jobic,46,70,53.95
55,Wambrechies Sherry Cask Single Malt,49.9,70,76.95
56,Wambrechies Madeira Cask Single Malt,44.5,70,74.95
57,Eddu 2011,48,70,110
58,Glann Ar Mor,46,70,77.75
59,Glann Ar Mor 2010,51,70,125
60,Hepp 2014,45,70,79.95
61,Castan-Vilanova 2017,49,70,79.95
62,Domaine Des Hautes Glaces 2016,55.3,70,120
63,Michel Couvreur Special Vatting Peaty Malt,45,70,134
64,Michel Couvreur Candid Malt,49,70,102
65,Armorik Sherry Cask Single Malt,46,70,44.95
66,Armorik Classic,46,70,38.95
67,Armorik Double Maturation,46,70,46.95
68,Brenne Estate Cask French Single Malt,40,70,55.75
69,Kornog Peated French Single Malt Whisky,46,70,81.25
70,Armorik 10 Year Old,46,70,53.95
71,Armorik Yeun Elez Jobic,46,70,53.95
72,Wambrechies Sherry Cask Single Malt,49.9,70,76.95
73,Wambrechies Madeira Cask Single Malt,44.5,70,74.95
74,Eddu 2011,48,70,110
75,Glann Ar Mor,46,70,77.75
76,Glann Ar Mor 2010,51,70,125
77,Hepp 2014,45,70,79.95
78,Castan-Vilanova 2017,49,70,79.95
79,Domaine Des Hautes Glaces 2016,55.3,70,120
80,Michel Couvreur Special Vatting Peaty Malt,45,70,134
81,Michel Couvreur Candid Malt,49,70,102
82,Armorik Sherry Cask Single Malt,46,70,44.95
83,Armorik Classic,46,70,38.95
84,Armorik Double Maturation,46,70,46.95
85,Brenne Estate Cask French Single Malt,40,70,55.75
86,Kornog Peated French Single Malt Whisky,46,70,81.25
87,Armorik 10 Year Old,46,70,53.95
88,Armorik Yeun Elez Jobic,46,70,53.95
89,Wambrechies Sherry Cask Single Malt,49.9,70,76.95
90,Wambrechies Madeira Cask Single Malt,44.5,70,74.95
91,Eddu 2011,48,70,110
92,Glann Ar Mor,46,70,77.75
93,Glann Ar Mor 2010,51,70,125
94,Hepp 2014,45,70,79.95
95,Castan-Vilanova 2017,49,70,79.95
96,Domaine Des Hautes Glaces 2016,55.3,70,120
97,Michel Couvreur Special Vatting Peaty Malt,45,70,134
98,Michel Couvreur Candid Malt,49,70,102
99,Armorik Sherry Cask Single Malt,46,70,44.95
100,Armorik Classic,46,70,38.95
101,Armorik Double Maturation,46,70,46.95
