,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Hardenberg Club Straight Wheat,42.5,70,43.25
1,Hardenberg Club Straight Rye,42.5,70,43.25
2,Stork Club Straight Rye Whiskey,45,70,34.95
3,Beverbach Single Malt Tequila Finish,43,70,67.25
4,Beverbach Single Malt Whiskey,43,70,52.75
5,Hardenberg Club Straight Wheat,42.5,70,43.25
6,Hardenberg Club Straight Rye,42.5,70,43.25
7,Stork Club Straight Rye Whiskey,45,70,34.95
8,Beverbach Single Malt Tequila Finish,43,70,67.25
9,Beverbach Single Malt Whiskey,43,70,52.75
10,Hardenberg Club Straight Wheat,42.5,70,43.25
11,Hardenberg Club Straight Rye,42.5,70,43.25
12,Stork Club Straight Rye Whiskey,45,70,34.95
13,Beverbach Single Malt Tequila Finish,43,70,67.25
14,Beverbach Single Malt Whiskey,43,70,52.75
15,Hardenberg Club Straight Wheat,42.5,70,43.25
16,Hardenberg Club Straight Rye,42.5,70,43.25
17,Stork Club Straight Rye Whiskey,45,70,34.95
18,Beverbach Single Malt Tequila Finish,43,70,67.25
19,Beverbach Single Malt Whiskey,43,70,52.75
20,Hardenberg Club Straight Wheat,42.5,70,43.25
21,Hardenberg Club Straight Rye,42.5,70,43.25
22,Stork Club Straight Rye Whiskey,45,70,34.95
23,Beverbach Single Malt Tequila Finish,43,70,67.25
24,Beverbach Single Malt Whiskey,43,70,52.75
25,Hardenberg Club Straight Wheat,42.5,70,43.25
26,Hardenberg Club Straight Rye,42.5,70,43.25
27,Stork Club Straight Rye Whiskey,45,70,34.95
28,Beverbach Single Malt Tequila Finish,43,70,67.25
29,Beverbach Single Malt Whiskey,43,70,52.75
