,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Compass Box Hedonism Sample,43,3,6.75
1,Invergordon 1995 Sample,42,3,8.45
2,Glaswegian Single Grain 29 Year Old Sample,54.2,3,10.75
3,Compass Box Hedonism Sample,43,3,6.75
4,Invergordon 1995 Sample,42,3,8.45
5,Glaswegian Single Grain 29 Year Old Sample,54.2,3,10.75
6,Compass Box Hedonism Sample,43,3,6.75
7,Invergordon 1995 Sample,42,3,8.45
8,Glaswegian Single Grain 29 Year Old Sample,54.2,3,10.75
9,Compass Box Hedonism Sample,43,3,6.75
10,Invergordon 1995 Sample,42,3,8.45
11,Glaswegian Single Grain 29 Year Old Sample,54.2,3,10.75
12,Compass Box Hedonism Sample,43,3,6.75
13,Invergordon 1995 Sample,42,3,8.45
14,Glaswegian Single Grain 29 Year Old Sample,54.2,3,10.75
15,Compass Box Hedonism Sample,43,3,6.75
16,Invergordon 1995 Sample,42,3,8.45
17,Glaswegian Single Grain 29 Year Old Sample,54.2,3,10.75
