,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,North British 1991,52.5,70,121
1,Personalised 25 Year Old Single Grain Scotch Whisky,48.4,70,150
2,Compass Box Experimental Grain,46,70,99.95
3,North British 1991,54.7,70,121
4,Haig Club,40,70,41.95
5,Loch Lomond Peated Single Grain,46,70,28.95
6,Cameronbridge 1984,51.6,70,220
7,Cambus 1991,55.3,70,149
8,Port Dundas 2004,58,70,84.95
9,Cameronbridge 1991,56.9,70,105
10,Haig Club Clubman,40,70,22.95
11,Strathcolm Extra Special,40,70,25.25
12,Girvan Patent Still 25 Year Old,42,70,199
13,Compass Box Hedonism,43,70,66.75
14,Invergordon 2002,48.4,70,82.95
15,North British Single Grain 2011,57.1,70,44.95
16,North British 2008,43,70,29.95
17,Caledonian 1987,52,70,267
18,Port Dundas 2000,58.6,70,89.95
19,Port Dundas 2006,43,70,39.25
20,Port Dundas 2000,57.1,70,84.95
21,Caperdonich 1997,53.6,70,365
22,Strathclyde Grain 2006,62.2,50,46.95
23,Carsebridge 1982,48.9,70,310
24,North British 1991,52.5,70,121
25,Personalised 25 Year Old Single Grain Scotch Whisky,48.4,70,150
26,Compass Box Experimental Grain,46,70,99.95
27,North British 1991,54.7,70,121
28,Haig Club,40,70,41.95
29,Loch Lomond Peated Single Grain,46,70,28.95
30,Cameronbridge 1984,51.6,70,220
31,Cambus 1991,55.3,70,149
32,Port Dundas 2004,58,70,84.95
33,Cameronbridge 1991,56.9,70,105
34,Haig Club Clubman,40,70,22.95
35,Strathcolm Extra Special,40,70,25.25
36,Girvan Patent Still 25 Year Old,42,70,199
37,Compass Box Hedonism,43,70,66.75
38,Invergordon 2002,48.4,70,82.95
39,North British Single Grain 2011,57.1,70,44.95
40,North British 2008,43,70,29.95
41,Caledonian 1987,52,70,267
42,Port Dundas 2000,58.6,70,89.95
43,Port Dundas 2006,43,70,39.25
44,Port Dundas 2000,57.1,70,84.95
45,Caperdonich 1997,53.6,70,365
46,Strathclyde Grain 2006,62.2,50,46.95
47,Carsebridge 1982,48.9,70,310
48,Glaswegian Single Grain 29 Year Old,54.2,70,128
49,Caledonian 1987,50.2,70,265
50,Cambus 1991,50.3,70,115
51,Loch Lomond Single Grain,46,70,27.95
52,Caledonian 'The Cally' 1974,53.3,70,750
53,Strathclyde 2005,48.4,70,49.95
54,Spearhead Single Grain Whisky,43,70,33.45
55,Port Dundas 1996,57.3,70,122
56,Arbikie Highland Rye 4 Year Old,46,70,245
57,North British 1988,48.6,70,225
58,Tweeddale Peated Grain Of Truth,50,70,51.95
59,North of Scotland 50 Year Old,40.4,70,"1,200"
60,Girvan Patent Still 30 Year Old,42,70,385
61,North British 1991,52.5,70,121
62,Personalised 25 Year Old Single Grain Scotch Whisky,48.4,70,150
63,Compass Box Experimental Grain,46,70,99.95
64,North British 1991,54.7,70,121
65,Haig Club,40,70,41.95
66,Loch Lomond Peated Single Grain,46,70,28.95
67,Cameronbridge 1984,51.6,70,220
68,Cambus 1991,55.3,70,149
69,Port Dundas 2004,58,70,84.95
70,Cameronbridge 1991,56.9,70,105
71,Haig Club Clubman,40,70,22.95
72,Strathcolm Extra Special,40,70,25.25
73,Girvan Patent Still 25 Year Old,42,70,199
74,Compass Box Hedonism,43,70,66.75
75,Invergordon 2002,48.4,70,82.95
76,North British Single Grain 2011,57.1,70,44.95
77,North British 2008,43,70,29.95
78,Caledonian 1987,52,70,267
79,Port Dundas 2000,58.6,70,89.95
80,Port Dundas 2006,43,70,39.25
