,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Deanston 18 Year Old,46.3,70,63.95
1,Ben Nevis 10 Year Old,46,70,52.95
2,Glendronach 21 Year Old Parliament,48,70,175
3,Edradour 10 Year Old,40,70,42.95
4,Clynelish Reserve,51.2,70,42.95
5,Dalmore 15 Year Old,40,70,74.95
6,Personalised Highland Special Reserve Single Malt,48,70,54.95
7,Oban Bay Reserve,43,70,62.95
8,Edradour 2009,55.1,70,105
9,Glendronach 15 Year Old Revival,46,70,69.95
10,Nc'Nean Organic Single Malt,46,70,49.95
11,Dalmore Port Wood Reserve Gift Set,46.5,70,79.95
12,Blair Athol 12 Year Old,43,70,48.45
13,Dalmore 12 Year Old,40,70,49.95
14,Glenmorangie 10 Year Old Original,40,70,36.95
15,Glendronach 12 Year Old Original,43,70,44.95
16,Glenmorangie Quinta Ruban 14 Year Old,46,70,54.95
17,Aberfeldy 12 Year Old,40,70,39.95
18,Glenmorangie Lasanta 12 Year Old,43,70,48.45
19,Royal Lochnagar 12 Year Old,40,70,38.95
20,Clynelish 14 Year Old,46,70,47.95
21,Dalmore Cigar Malt,44,70,81.95
22,Deanston 12 Year Old,46.3,70,38.95
23,Classic Malts Gentle Collection,43,60,46.95
24,Deanston 18 Year Old,46.3,70,63.95
25,Ben Nevis 10 Year Old,46,70,52.95
26,Glendronach 21 Year Old Parliament,48,70,175
27,Edradour 10 Year Old,40,70,42.95
28,Clynelish Reserve,51.2,70,42.95
29,Dalmore 15 Year Old,40,70,74.95
30,Personalised Highland Special Reserve Single Malt,48,70,54.95
31,Oban Bay Reserve,43,70,62.95
32,Edradour 2009,55.1,70,105
33,Glendronach 15 Year Old Revival,46,70,69.95
34,Nc'Nean Organic Single Malt,46,70,49.95
35,Dalmore Port Wood Reserve Gift Set,46.5,70,79.95
36,Blair Athol 12 Year Old,43,70,48.45
37,Dalmore 12 Year Old,40,70,49.95
38,Glenmorangie 10 Year Old Original,40,70,36.95
39,Glendronach 12 Year Old Original,43,70,44.95
40,Glenmorangie Quinta Ruban 14 Year Old,46,70,54.95
41,Aberfeldy 12 Year Old,40,70,39.95
42,Glenmorangie Lasanta 12 Year Old,43,70,48.45
43,Royal Lochnagar 12 Year Old,40,70,38.95
44,Clynelish 14 Year Old,46,70,47.95
45,Dalmore Cigar Malt,44,70,81.95
46,Deanston 12 Year Old,46.3,70,38.95
47,Classic Malts Gentle Collection,43,60,46.95
48,Oban 14 Year Old,43,70,72.95
49,AnCnoc 12 Year Old,40,70,31.45
50,Oban 2008,56.2,70,105
51,Old Pulteney 12 Year Old,40,70,32.45
52,Oban 2006 Distillers Edition,43,70,74.95
53,Glengoyne 12 Year Old,43,70,41.95
54,Fettercairn 16 Year Old,46.4,70,64.95
55,Balblair 18 Year Old,46,70,127
56,AnCnoc 24 Year Old,46,70,142
57,Oban 14 Year Old,43,20,18.95
58,Glenturret 12 Year Old,46,70,64.95
59,Croftengea 2006,52.6,70,74.95
60,Aberfeldy 15 Year Old,43,70,58.75
61,Balblair 12 Year Old,46,70,44.45
62,Glenmorangie Signet,46,70,165
63,Old Pulteney 15 Year Old,46,70,69.25
64,Tomatin Cask Strength Edition,57.5,70,50.95
65,Deanston 2008 Oloroso Cask,52.7,70,72.95
66,Glenmorangie 12 Year Old,47.3,70,74.95
67,Loch Lomond 18 Year Old,46,70,84.95
68,Glen Garioch 15 Year Old Sherry Cask,53.7,70,99.95
69,Glengoyne 18 Year Old,43,70,115
70,Edradour 12 Year Old,46,70,60.75
71,Clynelish 14 Year Old,46,20,13.95
72,Glengoyne 21 Year Old,43,70,175
73,Loch Lomond Original,40,70,25.95
74,Old Pulteney 18 Year Old,46,70,118
75,Oban Little Bay,43,70,53.95
76,Glencadam 10 Year Old,46,70,38.95
77,Classic Malts Coastal Collection,44.9,60,46.95
78,Edradour 2007,58.7,70,92.95
79,Glenmorangie Barrel Select Release 13 Year Old,46,70,73.25
80,Royal Brackla 12 Year Old,46,70,59.95
81,Glenmorangie A Tale of Winter,46,70,74.95
82,Fettercairn 12 Year Old,40,70,45.95
83,Glengoyne Time Capsule Gift Pack,44.7,60,59.95
84,AnCnoc 18 Year Old,46,70,93.95
85,MacDonald's Traditional Ben Nevis,46,70,46.95
86,Ben Nevis Coire Leis,46,70,44.95
87,Edradour 2011,59.1,50,74.75
88,Highland 2008,48,70,62.95
89,Edradour 2011,46,70,59.95
90,Tullibardine 15 Year Old,43,70,49.95
91,Royal Lochnagar Selected Reserve,43,70,180
92,Tomatin Legacy,43,70,30.45
93,Aberfeldy 16 Year Old,40,70,63.25
94,Ballechin 10 Year Old,46,70,48.75
95,Deanston Virgin Oak,46.3,70,35.25
96,Glen Garioch 12 Year Old,48,70,45.75
97,Edradour Ballechin Double Malt 2013,46,70,46.75
98,Ballechin 2003,51.3,70,175
99,Glenturret 10 Year Old Peat Smoked,50,70,52.45
100,Glenturret Triple Wood,44,70,47.95
101,Glencadam Reserva Andalucia,46,70,38.95
102,Tomatin 12 Year Old,43,70,41.95
103,Glengoyne 21 Year Old,43,20,56.95
104,Glenglassaugh 2010,57,70,90.95
105,Ruadh Mhor 2010 (Peated Glenturret),57.6,70,59.95
106,Blair Athol 2008,54.4,70,102
107,AnCnoc 2009,46,70,48.95
108,Aberfeldy Tasting Collection,42,60,65.95
109,Royal Lochnagar 2004,57.5,70,199
110,Glengoyne Triple Gift Pack,43,60,49.95
111,Royal Brackla 21 Year Old,46,70,220
112,Glengoyne 12 Year Old,43,70,47.95
113,Deanston 2002,50,70,105
114,Glenmorangie Nectar D'Or,46,70,58.95
115,AnCnoc Peaty,46,70,79.95
116,Glenmorangie Grand Vintage 1991,43,70,615
117,Balblair 15 Year Old,46,70,74.25
118,Glenmorangie Allta,51.2,70,78.95
119,Glenmorangie Bacalta,46,70,84.95
120,Tomatin 14 Year Old,46,70,62.45
121,Glencadam Origin 1825,40,70,29.95
122,Glenturret Peated Edition,43,70,45.95
123,Glenglassaugh Torfa,50,70,44.25
124,Aberfeldy 12 Year Old,40,70,39.95
125,Deanston 1995,52.2,70,195
126,Ballechin 2009,58.1,50,74.75
127,Edradour 1999,55.7,70,230
128,Macduff 2007,56.4,70,72.95
129,Edradour 1999,56.2,70,280
130,Of The Year Gift Collection 2022,45.8,210,150
131,Glengoyne Balbaina,43,100,59.95
132,Glencadam 1991,54.9,70,275
133,Blair Athol 10 Year Old,48,70,54.95
134,Ardmore 2011,57.6,70,71.95
135,Tomatin 2008,46,70,64.95
136,Deanston 1991,45,70,250
137,Tomatin 1997,52.7,70,190
138,Ardmore 1997,50.6,70,160
139,Inchmurrin 12 Year Old,46,70,39.95
140,Glendronach Traditionally Peated,48,70,48.45
141,Ardmore 1999,43,70,97.95
142,Glendronach Port Wood,46,70,59.95
143,Old Pulteney Huddart,46,70,44.75
