,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Rampur Asava,45,70,64.95
1,Rampur Double Cask Single Malt Whisky,45,70,58.95
2,Amrut Single Malt (46%),46,70,44.95
3,Paul John Mithuna,58,70,210
4,Paul John Pedro Ximenez Select Cask,48,70,69.95
5,Paul John Kanya,50,70,195
6,Paul John Oloroso Select Cask,48,70,69.95
7,Amrut Kadhambam,50,70,135
8,Amrut Raj Igala,40,70,42.95
9,Amrut Double Cask,46,70,165
10,Paul John Edited,46,70,40.25
11,Amrut Peated,46,70,56.75
12,Paul John 2016,57.6,70,93.95
13,Amrut Peated Port Pipe 2013,60,70,199
14,Paul John 2016,57.1,70,84.95
15,Amrut Fusion X,50,70,330
16,Amrut Kadhambam,50,70,135
17,Amrut Triparva,50,70,140
18,Amrut Greedy Angels 10 Year Old,57.1,70,800
19,Paul John Nirvana,40,70,30.95
20,Rampur Single Malt Signature Reserve,43.9,70,900
21,Amrut Madeira Finish,50,70,130
22,The E&K 5 Year Old Malt Whisky,57.8,70,150
23,Paul John Bold,46,70,40.25
24,Rampur Asava,45,70,64.95
25,Rampur Double Cask Single Malt Whisky,45,70,58.95
26,Amrut Single Malt (46%),46,70,44.95
27,Paul John Mithuna,58,70,210
28,Paul John Pedro Ximenez Select Cask,48,70,69.95
29,Paul John Kanya,50,70,195
30,Paul John Oloroso Select Cask,48,70,69.95
31,Amrut Kadhambam,50,70,135
32,Amrut Raj Igala,40,70,42.95
33,Amrut Double Cask,46,70,165
34,Paul John Edited,46,70,40.25
35,Amrut Peated,46,70,56.75
36,Paul John 2016,57.6,70,93.95
37,Amrut Peated Port Pipe 2013,60,70,199
38,Paul John 2016,57.1,70,84.95
39,Amrut Fusion X,50,70,330
40,Amrut Kadhambam,50,70,135
41,Amrut Triparva,50,70,140
42,Amrut Greedy Angels 10 Year Old,57.1,70,800
43,Paul John Nirvana,40,70,30.95
44,Rampur Single Malt Signature Reserve,43.9,70,900
45,Amrut Madeira Finish,50,70,130
46,The E&K 5 Year Old Malt Whisky,57.8,70,150
47,Paul John Bold,46,70,40.25
48,Amrut Naarangi,50,70,125
49,Paul John Peated Select Cask,55.5,70,69.95
50,Paul John Classic Select Cask,55.2,70,65.45
51,Paul John Brilliance,46,70,40.25
52,Amrut Cask Strength,61.8,70,66.95
53,Amrut Peated Cask Strength,62.8,70,80.25
54,Amrut Fusion,50,70,55.45
55,Rampur Asava,45,70,64.95
56,Rampur Double Cask Single Malt Whisky,45,70,58.95
57,Amrut Single Malt (46%),46,70,44.95
58,Paul John Mithuna,58,70,210
59,Paul John Pedro Ximenez Select Cask,48,70,69.95
60,Paul John Kanya,50,70,195
61,Paul John Oloroso Select Cask,48,70,69.95
62,Amrut Kadhambam,50,70,135
63,Amrut Raj Igala,40,70,42.95
64,Amrut Double Cask,46,70,165
65,Paul John Edited,46,70,40.25
66,Amrut Peated,46,70,56.75
67,Paul John 2016,57.6,70,93.95
68,Amrut Peated Port Pipe 2013,60,70,199
69,Paul John 2016,57.1,70,84.95
70,Amrut Fusion X,50,70,330
71,Amrut Kadhambam,50,70,135
72,Amrut Triparva,50,70,140
73,Amrut Greedy Angels 10 Year Old,57.1,70,800
74,Paul John Nirvana,40,70,30.95
75,Rampur Single Malt Signature Reserve,43.9,70,900
76,Amrut Madeira Finish,50,70,130
77,The E&K 5 Year Old Malt Whisky,57.8,70,150
78,Paul John Bold,46,70,40.25
79,Rampur Asava,45,70,64.95
80,Rampur Double Cask Single Malt Whisky,45,70,58.95
81,Amrut Single Malt (46%),46,70,44.95
82,Paul John Mithuna,58,70,210
83,Paul John Pedro Ximenez Select Cask,48,70,69.95
84,Paul John Kanya,50,70,195
85,Paul John Oloroso Select Cask,48,70,69.95
86,Amrut Kadhambam,50,70,135
87,Amrut Raj Igala,40,70,42.95
88,Amrut Double Cask,46,70,165
89,Paul John Edited,46,70,40.25
90,Amrut Peated,46,70,56.75
91,Paul John 2016,57.6,70,93.95
92,Amrut Peated Port Pipe 2013,60,70,199
93,Paul John 2016,57.1,70,84.95
94,Amrut Fusion X,50,70,330
95,Amrut Kadhambam,50,70,135
96,Amrut Triparva,50,70,140
97,Amrut Greedy Angels 10 Year Old,57.1,70,800
98,Paul John Nirvana,40,70,30.95
99,Rampur Single Malt Signature Reserve,43.9,70,900
100,Amrut Madeira Finish,50,70,130
101,The E&K 5 Year Old Malt Whisky,57.8,70,150
102,Paul John Bold,46,70,40.25
103,Rampur Asava,45,70,64.95
104,Rampur Double Cask Single Malt Whisky,45,70,58.95
105,Amrut Single Malt (46%),46,70,44.95
106,Paul John Mithuna,58,70,210
107,Paul John Pedro Ximenez Select Cask,48,70,69.95
108,Paul John Kanya,50,70,195
109,Paul John Oloroso Select Cask,48,70,69.95
110,Amrut Kadhambam,50,70,135
111,Amrut Raj Igala,40,70,42.95
112,Amrut Double Cask,46,70,165
113,Paul John Edited,46,70,40.25
114,Amrut Peated,46,70,56.75
115,Paul John 2016,57.6,70,93.95
116,Amrut Peated Port Pipe 2013,60,70,199
117,Paul John 2016,57.1,70,84.95
118,Amrut Fusion X,50,70,330
119,Amrut Kadhambam,50,70,135
120,Amrut Triparva,50,70,140
121,Amrut Greedy Angels 10 Year Old,57.1,70,800
122,Paul John Nirvana,40,70,30.95
123,Rampur Single Malt Signature Reserve,43.9,70,900
124,Amrut Madeira Finish,50,70,130
125,The E&K 5 Year Old Malt Whisky,57.8,70,150
126,Paul John Bold,46,70,40.25
