,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Lagavulin 16 Year Old,43,70,74.95
1,Lagavulin 2006 Distillers Edition,43,70,89.95
2,Bunnahabhain Aonadh 10 Year Old,56.2,70,99.95
3,Laphroaig 10 Year Old,40,70,35.95
4,Laphroaig 10 Year Old Sherry Oak Finish,48,70,59.95
5,Ardbeg Uigeadail,54.2,70,62.75
6,Laphroaig 10 Year Old,58.6,70,73.95
7,Port Charlotte 10 Year Old,50,70,50.75
8,Lagavulin 9 Year Old,46,70,69.95
9,Bunnahabhain 12 Year Old,46.3,70,45.25
10,Ardbeg 10 Year Old,46,70,45.95
11,Caol Ila 2010,58.2,70,120
12,Lagavulin 12 Year Old,57.8,70,150
13,Caol Ila 12 Year Old,43,70,44.95
14,Kilchoman 2012,52.8,70,96.95
15,Octomore Edition 12.1,59.9,70,131
16,Laphroaig 10 Year Old,57.9,70,73.95
17,Bunnahabhain 18 Year Old,46.3,70,120
18,Caol Ila 2011,48,70,59.95
19,Kilchoman Machir Bay,46,70,43.95
20,Bruichladdich Classic Laddie,50,70,43.95
21,Caol Ila 12 Year Old,43,20,17.45
22,Personalised 10 Year Old Islay Scotch Whisky,52.6,70,69.95
23,Bunnahabhain 2008,52.3,70,115
24,Lagavulin 16 Year Old,43,70,74.95
25,Lagavulin 2006 Distillers Edition,43,70,89.95
26,Bunnahabhain Aonadh 10 Year Old,56.2,70,99.95
27,Laphroaig 10 Year Old,40,70,35.95
28,Laphroaig 10 Year Old Sherry Oak Finish,48,70,59.95
29,Ardbeg Uigeadail,54.2,70,62.75
30,Laphroaig 10 Year Old,58.6,70,73.95
31,Port Charlotte 10 Year Old,50,70,50.75
32,Lagavulin 9 Year Old,46,70,69.95
33,Bunnahabhain 12 Year Old,46.3,70,45.25
34,Ardbeg 10 Year Old,46,70,45.95
35,Caol Ila 2010,58.2,70,120
36,Lagavulin 12 Year Old,57.8,70,150
37,Caol Ila 12 Year Old,43,70,44.95
38,Kilchoman 2012,52.8,70,96.95
39,Octomore Edition 12.1,59.9,70,131
40,Laphroaig 10 Year Old,57.9,70,73.95
41,Bunnahabhain 18 Year Old,46.3,70,120
42,Caol Ila 2011,48,70,59.95
43,Kilchoman Machir Bay,46,70,43.95
44,Bruichladdich Classic Laddie,50,70,43.95
45,Caol Ila 12 Year Old,43,20,17.45
46,Personalised 10 Year Old Islay Scotch Whisky,52.6,70,69.95
47,Bunnahabhain 2008,52.3,70,115
48,Caol Ila 2009 Distillers Edition,43,70,69.95
49,Bowmore 15 Year Old,43,70,62.95
50,Laphroaig Quarter Cask,48,70,42.45
51,Kilchoman 2012,53.4,70,96.95
52,Laphroaig Lore,48,70,67.95
53,Lagavulin 8 Year Old,48,70,56.95
54,Ardbeg Wee Beastie,47.4,70,37.95
55,Kilchoman UK Small Batch,49.1,70,51.95
56,Bowmore 18 Year Old,43,70,94.95
57,Ardbeg An Oa,46.6,70,46.45
58,Ardbeg Corryvreckan,57.1,70,75.45
59,Bowmore 12 Year Old,40,70,35.95
60,Williamson (Laphroaig) 2014,61.8,70,79.95
61,Bruichladdich Islay Barley 2012,50,70,50.95
62,Caol Ila Moch,43,70,54.95
63,Octomore 9.3,62.9,70,175
64,Caol Ila 15 Year Old Unpeated,59.1,70,99.95
65,Bunnahabhain 2001,54.3,70,150
66,Lagavulin 12 Year Old,56.5,70,199
67,Caol Ila 2001 Distillers Edition,43,70,135
68,Smokehead,43,70,37.45
69,Lagavulin 2005 Distillers Edition,43,70,99.95
70,Port Askaig 12 Year Old,45.8,70,72.95
71,Octomore 10.3,61.3,70,172
72,Smokehead High Voltage,58,70,57.95
73,Bunnahabhain Stiuireadair,46.3,70,38.25
74,Bowmore Vault Edition First Release 'Atlantic Sea Salt',51.5,70,84.95
75,Kilchoman Sanaig,46,70,49.45
76,Bunnahabhain Toiteach A Dha,46.3,20,16.45
77,Bunnahabhain Toiteach A Dha,46.3,70,43.45
78,Bunnahabhain Cruach-Mhona,50,100,79.95
79,Classic Malts Coastal Collection,44.9,60,46.95
80,Bunnahabhain Stiuireadair,46.3,20,13.75
81,Bunnahabhain 1997,51.3,70,250
82,Caol Ila 13 Year Old,43,70,47.95
83,Kilchoman Machir Bay Gift Pack,46,70,51.95
84,Caol Ila 18 Year Old,59.8,70,130
85,Port Askaig 8 Year Old,45.8,70,44.95
86,Cask Islay,46,70,32.95
87,Ardbeg 1998,55.9,70,325
88,Port Charlotte 2013 Islay Barley,50,70,66.45
89,Smokehead Rum Rebel,46,70,53.95
90,Aerolite Lyndsay 10 Year Old,46,70,37.95
91,Port Askaig 100° Proof,57.1,70,52.95
92,Ileach Cask Strength,58,70,49.45
93,Bunnahabhain 2012,64.8,70,105
94,Mac-Talla Strata 15 Year Old,46,70,66.95
95,Bunnahabhain 2010,43,70,74.95
96,Bn9 - Elements of Islay,59.1,50,49.95
97,Mac-Talla Terra Classic Islay,46,70,45.45
98,Bunnahabhain 12 Year Old,46.3,20,16.45
99,Bunnahabhain 11 Year Old,43,70,47.95
100,Bowmore 26 Year Old Wine Cask,48.7,70,350
101,Laphroaig Select,40,70,33.45
102,Bowmore Legend,40,70,39.95
103,Bowmore Classic Collection,42,60,57.95
104,Finlaggan Original,40,70,31.95
105,Caol Ila 2007,55.6,70,84.95
106,Caol Ila 2012,60,70,82.95
107,Finlaggan Old Reserve,40,70,34.95
108,Br6 - Elements of Islay,50.4,50,94.95
109,Ardbeg Kildalton,46,70,375
110,Laphroaig 25 Year Old,45.1,70,750
111,Bunnahabhain 25 Year Old,46.3,70,365
112,Bowmore 25 Year Old,43,70,380
113,Bowmore 18 Year Old,43,70,98.95
114,Ileach Peaty,40,70,34.95
115,Bruichladdich 2003,52.1,70,199
116,Bunnahabhain Staoisha 2013,46,70,38.75
117,Caol Ila 2012,46,70,46.25
118,Caol Ila 2011,48.4,70,60.95
119,Mac-Talla Mara Cask Strength,58.2,70,51.95
120,Bruichladdich Islay Barley,50,20,20.95
121,Port Askaig 28 Year Old,45.8,70,295
122,Smokehead Sherry Bomb,48,70,64.95
123,Bowmore 10 Year Old,40,100,49.95
124,Laphroaig Four Oak,40,100,64.95
125,Octomore 2002,46,70,250
126,Caol Ila 2013,46,70,46.95
127,South Star Islay Single Malt 2013,48,70,47.95
128,Unnamed Islay 1992,52.5,70,345
129,Bunnahabhain 1990,40.4,70,440
130,Bruichladdich 10 Year Old,40,70,225
131,Bunnahabhain 10 Year Old,43,70,47.95
132,Bruichladdich 27 Year Old,50.2,70,565
133,Bunnahabhain 44 Years Old,42.4,70,"1,300"
134,Bruichladdich 21 Year Old,43,70,450
135,Caol Ila 1995,54.1,70,385
136,Laphroaig 25 Year Old,48.9,70,550
137,Bunnahabhain Eirigh Na Greine,46.3,100,69.95
138,Oc2 - Elements of Islay,63.5,50,199
139,Bowmore Tempest 10 Year Old,55.9,70,140
140,Laphroaig 10 Year Old,40,70,450
141,Port Charlotte PC8,60.5,70,275
142,Ardbeg 1998,54.1,70,350
143,Lagavulin 12 Year Old,57.8,70,500
