,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Milk & Honey Classic Single Malt,46,70,44.95
1,Milk & Honey Apex,56.2,70,105
2,Pelter Single Malt Batch 2,51.3,70,110
3,Milk & Honey Rum Cask,57.3,70,92.75
4,Milk & Honey 2017 Ex-Islay Cask,66.1,70,94.95
5,Milk & Honey No.1 Dad Edition,55,70,76.95
6,Milk & Honey Peated Cask,46,70,51.95
7,Milk & Honey Red Wine Cask,46,70,51.95
8,Milk & Honey Sherry Cask,46,70,51.95
9,Milk & Honey Classic Single Malt,46,70,44.95
10,Milk & Honey Apex,56.2,70,105
11,Pelter Single Malt Batch 2,51.3,70,110
12,Milk & Honey Rum Cask,57.3,70,92.75
13,Milk & Honey 2017 Ex-Islay Cask,66.1,70,94.95
14,Milk & Honey No.1 Dad Edition,55,70,76.95
15,Milk & Honey Peated Cask,46,70,51.95
16,Milk & Honey Red Wine Cask,46,70,51.95
17,Milk & Honey Sherry Cask,46,70,51.95
18,Milk & Honey Classic Single Malt,46,70,44.95
19,Milk & Honey Apex,56.2,70,105
20,Pelter Single Malt Batch 2,51.3,70,110
21,Milk & Honey Rum Cask,57.3,70,92.75
22,Milk & Honey 2017 Ex-Islay Cask,66.1,70,94.95
23,Milk & Honey No.1 Dad Edition,55,70,76.95
24,Milk & Honey Peated Cask,46,70,51.95
25,Milk & Honey Red Wine Cask,46,70,51.95
26,Milk & Honey Sherry Cask,46,70,51.95
27,Milk & Honey Classic Single Malt,46,70,44.95
28,Milk & Honey Apex,56.2,70,105
29,Pelter Single Malt Batch 2,51.3,70,110
30,Milk & Honey Rum Cask,57.3,70,92.75
31,Milk & Honey 2017 Ex-Islay Cask,66.1,70,94.95
32,Milk & Honey No.1 Dad Edition,55,70,76.95
33,Milk & Honey Peated Cask,46,70,51.95
34,Milk & Honey Red Wine Cask,46,70,51.95
35,Milk & Honey Sherry Cask,46,70,51.95
36,Milk & Honey Classic Single Malt,46,70,44.95
37,Milk & Honey Apex,56.2,70,105
38,Pelter Single Malt Batch 2,51.3,70,110
39,Milk & Honey Rum Cask,57.3,70,92.75
40,Milk & Honey 2017 Ex-Islay Cask,66.1,70,94.95
41,Milk & Honey No.1 Dad Edition,55,70,76.95
42,Milk & Honey Peated Cask,46,70,51.95
43,Milk & Honey Red Wine Cask,46,70,51.95
44,Milk & Honey Sherry Cask,46,70,51.95
45,Milk & Honey Classic Single Malt,46,70,44.95
46,Milk & Honey Apex,56.2,70,105
47,Pelter Single Malt Batch 2,51.3,70,110
48,Milk & Honey Rum Cask,57.3,70,92.75
49,Milk & Honey 2017 Ex-Islay Cask,66.1,70,94.95
50,Milk & Honey No.1 Dad Edition,55,70,76.95
51,Milk & Honey Peated Cask,46,70,51.95
52,Milk & Honey Red Wine Cask,46,70,51.95
53,Milk & Honey Sherry Cask,46,70,51.95
