,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Nikka Coffey Malt Whisky Sample,45,3,6.25
1,Nikka Coffey Grain Whisky Sample,45,3,5.95
2,Yoichi Single Malt Sample,45,3,7.25
3,Chichibu 2011 Sample,55.2,3,29.95
4,Nikka Taketsuru Pure Malt Sample,43,3,7.95
5,Amahagan Yamazakura Wood Limited Edition Sample,47,3,7.45
6,Nikka Tailored Sample,43,3,9.45
7,Nikka Pure Malt Red Sample,43,3,6.75
8,Yoichi 10 Year Old Sample,45,3,34.75
9,Mars Komagatake 2015 First Fill Bourbon Single Cask Sample,63,3,15.95
10,Amahagan Edition No 3 Sample,47,3,8.75
11,Amahagan Edition No 2 Sample,47,3,7.45
12,Amahagan Edition No 1 Sample,47,3,7.25
13,Nikka Coffey Malt Whisky Sample,45,3,6.25
14,Nikka Coffey Grain Whisky Sample,45,3,5.95
15,Yoichi Single Malt Sample,45,3,7.25
16,Chichibu 2011 Sample,55.2,3,29.95
17,Nikka Taketsuru Pure Malt Sample,43,3,7.95
18,Amahagan Yamazakura Wood Limited Edition Sample,47,3,7.45
19,Nikka Tailored Sample,43,3,9.45
20,Nikka Pure Malt Red Sample,43,3,6.75
21,Yoichi 10 Year Old Sample,45,3,34.75
22,Mars Komagatake 2015 First Fill Bourbon Single Cask Sample,63,3,15.95
23,Amahagan Edition No 3 Sample,47,3,8.75
24,Amahagan Edition No 2 Sample,47,3,7.45
25,Amahagan Edition No 1 Sample,47,3,7.25
26,Nikka Coffey Malt Whisky Sample,45,3,6.25
27,Nikka Coffey Grain Whisky Sample,45,3,5.95
28,Yoichi Single Malt Sample,45,3,7.25
29,Chichibu 2011 Sample,55.2,3,29.95
30,Nikka Taketsuru Pure Malt Sample,43,3,7.95
31,Amahagan Yamazakura Wood Limited Edition Sample,47,3,7.45
32,Nikka Tailored Sample,43,3,9.45
33,Nikka Pure Malt Red Sample,43,3,6.75
34,Yoichi 10 Year Old Sample,45,3,34.75
35,Mars Komagatake 2015 First Fill Bourbon Single Cask Sample,63,3,15.95
36,Amahagan Edition No 3 Sample,47,3,8.75
37,Amahagan Edition No 2 Sample,47,3,7.45
38,Amahagan Edition No 1 Sample,47,3,7.25
39,Nikka Coffey Malt Whisky Sample,45,3,6.25
40,Nikka Coffey Grain Whisky Sample,45,3,5.95
41,Yoichi Single Malt Sample,45,3,7.25
42,Chichibu 2011 Sample,55.2,3,29.95
43,Nikka Taketsuru Pure Malt Sample,43,3,7.95
44,Amahagan Yamazakura Wood Limited Edition Sample,47,3,7.45
45,Nikka Tailored Sample,43,3,9.45
46,Nikka Pure Malt Red Sample,43,3,6.75
47,Yoichi 10 Year Old Sample,45,3,34.75
48,Mars Komagatake 2015 First Fill Bourbon Single Cask Sample,63,3,15.95
49,Amahagan Edition No 3 Sample,47,3,8.75
50,Amahagan Edition No 2 Sample,47,3,7.45
51,Amahagan Edition No 1 Sample,47,3,7.25
52,Nikka Coffey Malt Whisky Sample,45,3,6.25
53,Nikka Coffey Grain Whisky Sample,45,3,5.95
54,Yoichi Single Malt Sample,45,3,7.25
55,Chichibu 2011 Sample,55.2,3,29.95
56,Nikka Taketsuru Pure Malt Sample,43,3,7.95
57,Amahagan Yamazakura Wood Limited Edition Sample,47,3,7.45
58,Nikka Tailored Sample,43,3,9.45
59,Nikka Pure Malt Red Sample,43,3,6.75
60,Yoichi 10 Year Old Sample,45,3,34.75
61,Mars Komagatake 2015 First Fill Bourbon Single Cask Sample,63,3,15.95
62,Amahagan Edition No 3 Sample,47,3,8.75
63,Amahagan Edition No 2 Sample,47,3,7.45
64,Amahagan Edition No 1 Sample,47,3,7.25
65,Nikka Coffey Malt Whisky Sample,45,3,6.25
66,Nikka Coffey Grain Whisky Sample,45,3,5.95
67,Yoichi Single Malt Sample,45,3,7.25
68,Chichibu 2011 Sample,55.2,3,29.95
69,Nikka Taketsuru Pure Malt Sample,43,3,7.95
70,Amahagan Yamazakura Wood Limited Edition Sample,47,3,7.45
71,Nikka Tailored Sample,43,3,9.45
72,Nikka Pure Malt Red Sample,43,3,6.75
73,Yoichi 10 Year Old Sample,45,3,34.75
74,Mars Komagatake 2015 First Fill Bourbon Single Cask Sample,63,3,15.95
75,Amahagan Edition No 3 Sample,47,3,8.75
76,Amahagan Edition No 2 Sample,47,3,7.45
77,Amahagan Edition No 1 Sample,47,3,7.25
