,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Shizuoka Single Malt Prologue K and Prologue W,55.5,40,199
1,Nikka Coffey Grain Whisky,45,70,56.95
2,Hakushu Distiller's Reserve,43,70,70.95
3,Yoichi Single Malt,45,70,75.95
4,Suntory Toki,43,70,33.95
5,The Chita Whisky,43,70,51.95
6,Miyagikyo Single Malt,45,70,75.95
7,Akashi Single Malt Whisky,46,50,73.75
8,Hakushu 10 Year Old,40.5,70,375
9,Kaiyo Mizunara Oak Cask Strength,53,70,110
10,Kaiyo Mizunara Oak,43,70,82.95
11,Yoichi 10 Year Old,45,70,500
12,Miyagikyo 10 Year Old,45,70,450
13,The House of Suntory Triology Pack,42,60,44.95
14,Ichiro's Malt & Grain,48.5,70,"2,000"
15,Kaiyo Peated Mizunara Oak,46,70,99.95
16,Nikka Coffey Grain Whisky Show Package,43,70,264
17,Chichibu 2010,62.2,70,"3,250"
18,Suntory Torys Classic,37,70,30.45
19,Akashi 5 Year Old,50,50,150
20,Miyagikyo 15 Year Old,40,70,"1,000"
21,Nikka Coffey Grain Whisky Show Package,43,70,165
22,Chichibu 2009,56.5,70,"3,500"
23,Hanyu 1985 The Joker,54.9,70,"60,000"
24,Shizuoka Single Malt Prologue K and Prologue W,55.5,40,199
25,Nikka Coffey Grain Whisky,45,70,56.95
26,Hakushu Distiller's Reserve,43,70,70.95
27,Yoichi Single Malt,45,70,75.95
28,Suntory Toki,43,70,33.95
29,The Chita Whisky,43,70,51.95
30,Miyagikyo Single Malt,45,70,75.95
31,Akashi Single Malt Whisky,46,50,73.75
32,Hakushu 10 Year Old,40.5,70,375
33,Kaiyo Mizunara Oak Cask Strength,53,70,110
34,Kaiyo Mizunara Oak,43,70,82.95
35,Yoichi 10 Year Old,45,70,500
36,Miyagikyo 10 Year Old,45,70,450
37,The House of Suntory Triology Pack,42,60,44.95
38,Ichiro's Malt & Grain,48.5,70,"2,000"
39,Kaiyo Peated Mizunara Oak,46,70,99.95
40,Nikka Coffey Grain Whisky Show Package,43,70,264
41,Chichibu 2010,62.2,70,"3,250"
42,Suntory Torys Classic,37,70,30.45
43,Akashi 5 Year Old,50,50,150
44,Miyagikyo 15 Year Old,40,70,"1,000"
45,Nikka Coffey Grain Whisky Show Package,43,70,165
46,Chichibu 2009,56.5,70,"3,500"
47,Hanyu 1985 The Joker,54.9,70,"60,000"
48,Shizuoka Single Malt Prologue K and Prologue W,55.5,40,199
49,Nikka Coffey Grain Whisky,45,70,56.95
50,Hakushu Distiller's Reserve,43,70,70.95
51,Yoichi Single Malt,45,70,75.95
52,Suntory Toki,43,70,33.95
53,The Chita Whisky,43,70,51.95
54,Miyagikyo Single Malt,45,70,75.95
55,Akashi Single Malt Whisky,46,50,73.75
56,Hakushu 10 Year Old,40.5,70,375
57,Kaiyo Mizunara Oak Cask Strength,53,70,110
58,Kaiyo Mizunara Oak,43,70,82.95
59,Yoichi 10 Year Old,45,70,500
60,Miyagikyo 10 Year Old,45,70,450
61,The House of Suntory Triology Pack,42,60,44.95
62,Ichiro's Malt & Grain,48.5,70,"2,000"
63,Kaiyo Peated Mizunara Oak,46,70,99.95
64,Nikka Coffey Grain Whisky Show Package,43,70,264
65,Chichibu 2010,62.2,70,"3,250"
66,Suntory Torys Classic,37,70,30.45
67,Akashi 5 Year Old,50,50,150
68,Miyagikyo 15 Year Old,40,70,"1,000"
69,Nikka Coffey Grain Whisky Show Package,43,70,165
70,Chichibu 2009,56.5,70,"3,500"
71,Hanyu 1985 The Joker,54.9,70,"60,000"
72,Shizuoka Single Malt Prologue K and Prologue W,55.5,40,199
73,Nikka Coffey Grain Whisky,45,70,56.95
74,Hakushu Distiller's Reserve,43,70,70.95
75,Yoichi Single Malt,45,70,75.95
76,Suntory Toki,43,70,33.95
77,The Chita Whisky,43,70,51.95
78,Miyagikyo Single Malt,45,70,75.95
79,Akashi Single Malt Whisky,46,50,73.75
80,Hakushu 10 Year Old,40.5,70,375
81,Kaiyo Mizunara Oak Cask Strength,53,70,110
82,Kaiyo Mizunara Oak,43,70,82.95
83,Yoichi 10 Year Old,45,70,500
84,Miyagikyo 10 Year Old,45,70,450
85,The House of Suntory Triology Pack,42,60,44.95
86,Ichiro's Malt & Grain,48.5,70,"2,000"
87,Kaiyo Peated Mizunara Oak,46,70,99.95
88,Nikka Coffey Grain Whisky Show Package,43,70,264
89,Chichibu 2010,62.2,70,"3,250"
90,Suntory Torys Classic,37,70,30.45
91,Akashi 5 Year Old,50,50,150
92,Miyagikyo 15 Year Old,40,70,"1,000"
93,Nikka Coffey Grain Whisky Show Package,43,70,165
94,Chichibu 2009,56.5,70,"3,500"
95,Hanyu 1985 The Joker,54.9,70,"60,000"
96,Shizuoka Single Malt Prologue K and Prologue W,55.5,40,199
97,Nikka Coffey Grain Whisky,45,70,56.95
98,Hakushu Distiller's Reserve,43,70,70.95
99,Yoichi Single Malt,45,70,75.95
100,Suntory Toki,43,70,33.95
101,The Chita Whisky,43,70,51.95
102,Miyagikyo Single Malt,45,70,75.95
103,Akashi Single Malt Whisky,46,50,73.75
104,Hakushu 10 Year Old,40.5,70,375
105,Kaiyo Mizunara Oak Cask Strength,53,70,110
106,Kaiyo Mizunara Oak,43,70,82.95
107,Yoichi 10 Year Old,45,70,500
108,Miyagikyo 10 Year Old,45,70,450
109,The House of Suntory Triology Pack,42,60,44.95
110,Ichiro's Malt & Grain,48.5,70,"2,000"
111,Kaiyo Peated Mizunara Oak,46,70,99.95
112,Nikka Coffey Grain Whisky Show Package,43,70,264
113,Chichibu 2010,62.2,70,"3,250"
114,Suntory Torys Classic,37,70,30.45
115,Akashi 5 Year Old,50,50,150
116,Miyagikyo 15 Year Old,40,70,"1,000"
117,Nikka Coffey Grain Whisky Show Package,43,70,165
118,Chichibu 2009,56.5,70,"3,500"
119,Hanyu 1985 The Joker,54.9,70,"60,000"
120,Shizuoka Single Malt Prologue K and Prologue W,55.5,40,199
121,Nikka Coffey Grain Whisky,45,70,56.95
122,Hakushu Distiller's Reserve,43,70,70.95
123,Yoichi Single Malt,45,70,75.95
124,Suntory Toki,43,70,33.95
125,The Chita Whisky,43,70,51.95
126,Miyagikyo Single Malt,45,70,75.95
127,Akashi Single Malt Whisky,46,50,73.75
128,Hakushu 10 Year Old,40.5,70,375
129,Kaiyo Mizunara Oak Cask Strength,53,70,110
130,Kaiyo Mizunara Oak,43,70,82.95
131,Yoichi 10 Year Old,45,70,500
132,Miyagikyo 10 Year Old,45,70,450
133,The House of Suntory Triology Pack,42,60,44.95
134,Ichiro's Malt & Grain,48.5,70,"2,000"
135,Kaiyo Peated Mizunara Oak,46,70,99.95
136,Nikka Coffey Grain Whisky Show Package,43,70,264
137,Chichibu 2010,62.2,70,"3,250"
138,Suntory Torys Classic,37,70,30.45
139,Akashi 5 Year Old,50,50,150
140,Miyagikyo 15 Year Old,40,70,"1,000"
141,Nikka Coffey Grain Whisky Show Package,43,70,165
142,Chichibu 2009,56.5,70,"3,500"
143,Hanyu 1985 The Joker,54.9,70,"60,000"
