,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Ailsa Bay Sweet Smoke,48.9,70,59.95
1,Classic Malts Gentle Collection,43,60,46.95
2,Auchentoshan Three Wood,43,70,49.95
3,Lindores Abbey MCDXCIV,46,70,43.95
4,Ailsa Bay Sweet Smoke,48.9,70,55.95
5,Auchentoshan 12 Year Old,40,70,40.45
6,Bladnoch 11 Year Old,46.7,70,69.75
7,Bladnoch 19 Year Old,46.6,70,155
8,Glenkinchie 12 Year Old,43,70,41.95
9,Bladnoch 14 Year Old,46.6,70,110
10,Auchentoshan American Oak,40,70,24.95
11,Bladnoch Alinta,47,70,79.95
12,Bladnoch 2007,55.9,70,185
13,Glenkinchie 2008 Distillers Edition,43,70,63.95
14,Bladnoch Samsara,46.6,70,69.95
15,Glenkinchie 12 Year Old,43,20,16.45
16,Lindores Abbey Bourbon Cask,46,70,52.95
17,Bladnoch Vinaya,46.7,70,49.95
18,Glenkinchie 2007 Distillers Edition,43,70,63.95
19,Auchentoshan 18 Year Old,43,70,88.95
20,Auchentoshan 1997,53.4,70,260
21,Kingsbarns Dream to Dram,46,70,42.95
22,Auchentoshan Virgin Oak,46,70,67.95
23,Lowland 2007,48,70,62.95
24,Ailsa Bay Sweet Smoke,48.9,70,59.95
25,Classic Malts Gentle Collection,43,60,46.95
26,Auchentoshan Three Wood,43,70,49.95
27,Lindores Abbey MCDXCIV,46,70,43.95
28,Ailsa Bay Sweet Smoke,48.9,70,55.95
29,Auchentoshan 12 Year Old,40,70,40.45
30,Bladnoch 11 Year Old,46.7,70,69.75
31,Bladnoch 19 Year Old,46.6,70,155
32,Glenkinchie 12 Year Old,43,70,41.95
33,Bladnoch 14 Year Old,46.6,70,110
34,Auchentoshan American Oak,40,70,24.95
35,Bladnoch Alinta,47,70,79.95
36,Bladnoch 2007,55.9,70,185
37,Glenkinchie 2008 Distillers Edition,43,70,63.95
38,Bladnoch Samsara,46.6,70,69.95
39,Glenkinchie 12 Year Old,43,20,16.45
40,Lindores Abbey Bourbon Cask,46,70,52.95
41,Bladnoch Vinaya,46.7,70,49.95
42,Glenkinchie 2007 Distillers Edition,43,70,63.95
43,Auchentoshan 18 Year Old,43,70,88.95
44,Auchentoshan 1997,53.4,70,260
45,Kingsbarns Dream to Dram,46,70,42.95
46,Auchentoshan Virgin Oak,46,70,67.95
47,Lowland 2007,48,70,62.95
48,Kingsbarns Balcomie Single Malt,46,70,44.95
49,Littlemill 25 Year Old,50.4,75,"2,250"
50,Linlithgow 1982,50,70,850
51,Auchentoshan 1991,56.1,70,575
52,Glenkinchie 10 Year Old,43,75,150
53,Littlemill Testament 1976,42.5,70,"8,000"
54,St Magdalene 1964,40,75,"1,600"
55,St Magdalene 1964,40,75,"1,600"
