,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Thomson Manuka Smoke Single Malt,46,70,54.95
1,New Zealand 18 Year Old Double Wood,57.2,50,99.95
2,Cardrona Growing Wings 5 Year Old,65.7,35,125
3,Cardrona Growing Wings 5 Year Old,61.2,35,125
4,Cardrona Just Hatched Single Malt,64.4,35,74.95
5,Cardrona Growing Wings,67.4,35,125
6,Cardrona Growing Wings,66.5,35,125
7,Cardrona Growing Wings Solera,65.6,35,74.95
8,New Zealand 1988 Single Cask,55.3,50,450
9,Thomson Manuka Smoke Single Malt,46,70,54.95
10,New Zealand 18 Year Old Double Wood,57.2,50,99.95
11,Cardrona Growing Wings 5 Year Old,65.7,35,125
12,Cardrona Growing Wings 5 Year Old,61.2,35,125
13,Cardrona Just Hatched Single Malt,64.4,35,74.95
14,Cardrona Growing Wings,67.4,35,125
15,Cardrona Growing Wings,66.5,35,125
16,Cardrona Growing Wings Solera,65.6,35,74.95
17,New Zealand 1988 Single Cask,55.3,50,450
18,Thomson Manuka Smoke Single Malt,46,70,54.95
19,New Zealand 18 Year Old Double Wood,57.2,50,99.95
20,Cardrona Growing Wings 5 Year Old,65.7,35,125
21,Cardrona Growing Wings 5 Year Old,61.2,35,125
22,Cardrona Just Hatched Single Malt,64.4,35,74.95
23,Cardrona Growing Wings,67.4,35,125
24,Cardrona Growing Wings,66.5,35,125
25,Cardrona Growing Wings Solera,65.6,35,74.95
26,New Zealand 1988 Single Cask,55.3,50,450
27,Thomson Manuka Smoke Single Malt,46,70,54.95
28,New Zealand 18 Year Old Double Wood,57.2,50,99.95
29,Cardrona Growing Wings 5 Year Old,65.7,35,125
30,Cardrona Growing Wings 5 Year Old,61.2,35,125
31,Cardrona Just Hatched Single Malt,64.4,35,74.95
32,Cardrona Growing Wings,67.4,35,125
33,Cardrona Growing Wings,66.5,35,125
34,Cardrona Growing Wings Solera,65.6,35,74.95
35,New Zealand 1988 Single Cask,55.3,50,450
36,Thomson Manuka Smoke Single Malt,46,70,54.95
37,New Zealand 18 Year Old Double Wood,57.2,50,99.95
38,Cardrona Growing Wings 5 Year Old,65.7,35,125
39,Cardrona Growing Wings 5 Year Old,61.2,35,125
40,Cardrona Just Hatched Single Malt,64.4,35,74.95
41,Cardrona Growing Wings,67.4,35,125
42,Cardrona Growing Wings,66.5,35,125
43,Cardrona Growing Wings Solera,65.6,35,74.95
44,New Zealand 1988 Single Cask,55.3,50,450
45,Thomson Manuka Smoke Single Malt,46,70,54.95
46,New Zealand 18 Year Old Double Wood,57.2,50,99.95
47,Cardrona Growing Wings 5 Year Old,65.7,35,125
48,Cardrona Growing Wings 5 Year Old,61.2,35,125
49,Cardrona Just Hatched Single Malt,64.4,35,74.95
50,Cardrona Growing Wings,67.4,35,125
51,Cardrona Growing Wings,66.5,35,125
52,Cardrona Growing Wings Solera,65.6,35,74.95
53,New Zealand 1988 Single Cask,55.3,50,450
