,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Nikka From the Barrel,51.4,50,43.95
1,Nikka From The Barrel Pourer + 2 Glasses Pack,51.4,50,54.95
2,Brenne Estate Cask French Single Malt,40,70,55.75
3,Nomad Outland Whisky,41.3,70,31.45
4,Penderyn Rich Oak,46,70,44.95
5,The Lakes The Whiskymaker's Editions Mosaic,46.6,70,79.95
6,Thomson Manuka Smoke Single Malt,46,70,54.95
7,Penderyn Madeira Finish,46,70,34.95
8,Penderyn Hiraeth,46,70,54.95
9,Nikka Tailored,43,70,110
10,Hatozaki Blended Japanese Whisky,40,70,29.95
11,Nikka Coffey Malt Whisky,45,70,60.95
12,Three Ships 12 Year Old,46.3,70,41.95
13,Kavalan Distillery Select No.1,40,70,52.95
14,Mackmyra Limousin,46.1,70,59.95
15,Starward Unexpeated,50,70,80.95
16,Abasolo Mexican Corn Whiskey,43,70,39.95
17,Nikka Taketsuru Pure Malt,43,70,84.95
18,Kavalan Classic Single Malt,40,70,69.45
19,Bain's Cape Mountain Whisky,40,70,24.45
20,Cotswolds Reserve Single Malt,50,70,48.45
21,Penderyn Royal Welsh Whisky,43,70,42.95
22,The Nikka 12 Year Old,43,70,135
23,Aber Falls Distillers Cut,40,70,64.95
24,Nikka From the Barrel,51.4,50,43.95
25,Nikka From The Barrel Pourer + 2 Glasses Pack,51.4,50,54.95
26,Brenne Estate Cask French Single Malt,40,70,55.75
27,Nomad Outland Whisky,41.3,70,31.45
28,Penderyn Rich Oak,46,70,44.95
29,The Lakes The Whiskymaker's Editions Mosaic,46.6,70,79.95
30,Thomson Manuka Smoke Single Malt,46,70,54.95
31,Penderyn Madeira Finish,46,70,34.95
32,Penderyn Hiraeth,46,70,54.95
33,Nikka Tailored,43,70,110
34,Hatozaki Blended Japanese Whisky,40,70,29.95
35,Nikka Coffey Malt Whisky,45,70,60.95
36,Three Ships 12 Year Old,46.3,70,41.95
37,Kavalan Distillery Select No.1,40,70,52.95
38,Mackmyra Limousin,46.1,70,59.95
39,Starward Unexpeated,50,70,80.95
40,Abasolo Mexican Corn Whiskey,43,70,39.95
41,Nikka Taketsuru Pure Malt,43,70,84.95
42,Kavalan Classic Single Malt,40,70,69.45
43,Bain's Cape Mountain Whisky,40,70,24.45
44,Cotswolds Reserve Single Malt,50,70,48.45
45,Penderyn Royal Welsh Whisky,43,70,42.95
46,The Nikka 12 Year Old,43,70,135
47,Aber Falls Distillers Cut,40,70,64.95
48,Penderyn Madeira Finish 2013,57.9,70,120
49,Filey Bay Moscatel Finish,46,70,58.95
50,Mackmyra Bjorksav Single Malt,46.1,70,58.95
51,Hatozaki Pure Malt Japanese Whisky,46,70,44.25
52,Kavalan Sherry Oak,46,70,95.95
53,Penderyn Sherrywood,46,70,41.95
54,Penderyn Whisky,48,70,69.95
55,Kavalan Solist Vinho Barrique 004A (2014),57.8,70,210
56,Kornog Peated French Single Malt Whisky,46,70,81.25
57,Starward Trio Set,43.7,60,56.95
58,Aber Falls Whisky,40,70,23.95
59,Starward Left Field Single Malt,40,70,34.95
60,Forest Whisky 8 Year Old Blended Malt,47,70,54.95
61,New Zealand 18 Year Old Double Wood,57.2,50,99.95
62,Milk & Honey Classic Single Malt,46,70,44.95
63,Rampur Asava,45,70,64.95
64,Rampur Double Cask Single Malt Whisky,45,70,58.95
65,Starward Nova,41,70,44.75
66,Nikka Days,40,70,39.95
67,Box Dalvve,46,70,58.75
68,Mackmyra Svensk Rok,46.1,50,44.95
69,Togouchi Premium Blended Whisky,40,70,45.25
70,Akashi Blended Whisky,40,50,32.95
71,Penderyn Legend,41,70,29.95
72,Amrut Single Malt (46%),46,70,44.95
73,Penderyn Peated,46,70,39.25
74,The English 2013,46,70,63.95
75,Masthouse Single Malt Whisky,45,50,37.25
76,Hardenberg Club Straight Wheat,42.5,70,43.25
77,Armorik 10 Year Old,46,70,53.95
78,Armorik Yeun Elez Jobic,46,70,53.95
79,The English Gently Smoked Sherry Cask 2012,46,70,63.95
80,The English Smokey Single Malt Whisky,43,70,44.25
81,The English Original Single Malt Whisky,43,70,44.25
82,Stauning Smoke Single Malt,47,50,82.95
83,Cardrona Growing Wings 5 Year Old,65.7,35,125
84,Paul John Mithuna,58,70,210
85,Kavalan Distillery Select No.2,40,70,54.95
86,Paul John Pedro Ximenez Select Cask,48,70,69.95
87,Yushan Sherry Single Malt,46,70,56.95
88,Ichiro's Malt & Grain World Blended Whisky,46.5,70,69.95
89,Kavalan Concertmaster,40,50,49.95
90,Stauning 2012 Peated Single Malt,48.4,50,82.95
91,Paul John Kanya,50,70,195
92,Penderyn Portwood,46,70,57.95
93,Kavalan Podium,46,70,78.45
94,Super Nikka,43,70,51.45
95,English Whisky Co. Peated,55.2,70,69.95
96,Mackmyra Svensk Ek,46.1,70,49.75
97,Mars Maltage Cosmo,43,70,55.95
98,Penderyn Myth,41,70,32.95
99,Hellyers Road Pinot Noir Finish,46.2,70,73.75
100,Nikka Pure Malt Red,43,50,46.45
101,Kavalan Solist Manzanilla Cask #011A (2011),57.8,70,360
102,Mackmyra Intelligens A:02,46.1,70,58.95
103,Masthouse Grain Whisky,42,50,35.95
104,Hardenberg Club Straight Rye,42.5,70,43.25
105,Wambrechies Sherry Cask Single Malt,49.9,70,76.95
106,Wambrechies Madeira Cask Single Malt,44.5,70,74.95
107,The English Original Single Malt Whisky,43,20,18.95
108,Filey Bay IPA Cask Finish,46,70,58.95
109,Starward Ginger Beer Cask,48,50,94.95
110,Cotswolds Sherry Cask Single Malt,57.4,70,63.95
111,Morris Signature Australian Single Malt,40,70,51.95
