,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Glendronach 12 Year Old Original Miniature,43,5,4.95
1,Arran 10 Year Old Malt Miniature,46,5,5.25
2,Tobermory 12 Year Old,46.3,5,4.75
3,Ledaig 10 Year Old Miniature,46.3,5,3.95
4,Bunnahabhain 12 Year Old Miniature,46.3,5,4.75
5,Single Malts Discovery Mini Pack (Talisker 10,41.9,15,13.45
6,Glenallachie 15 Year Old,46,5,8.45
7,Laphroaig 10 Year Old Miniature,40,5,5.75
8,Balvenie 12 Year Old,40,5,5.75
9,Glen Scotia Double Cask Miniature,46,5,4.95
10,Tomintoul 14 Year Old,46,5,6.95
11,Bowmore 18 Year Old Miniature,43,5,8.95
12,Ardbeg 10 Year Old Miniature,46,5,6.45
13,Highland Park 12 Year Old Miniature,40,5,5.25
14,Smokehead,43,5,4.95
15,Talisker Miniature Gift Pack,45.8,15,15.95
16,Old Ballantruan Peated Malt Miniature,50,5,6.25
17,Jura 10 Year Old Miniature,40,5,4.45
18,Bowmore 12 Year Old Miniature,40,5,6.45
19,Glen Scotia Victoriana Cask Strength,54.2,5,7.95
20,Kilchoman Machir Bay,46,5,8.45
21,Glenmorangie Original 10 Year Old Miniature,40,5,4.75
22,Speyburn 10 Year Old Miniature,40,5,3.95
23,Port Askaig 100 Proof Miniature,57.1,5,7.75
24,Glendronach 12 Year Old Original Miniature,43,5,4.95
25,Arran 10 Year Old Malt Miniature,46,5,5.25
26,Tobermory 12 Year Old,46.3,5,4.75
27,Ledaig 10 Year Old Miniature,46.3,5,3.95
28,Bunnahabhain 12 Year Old Miniature,46.3,5,4.75
29,Single Malts Discovery Mini Pack (Talisker 10,41.9,15,13.45
30,Glenallachie 15 Year Old,46,5,8.45
31,Laphroaig 10 Year Old Miniature,40,5,5.75
32,Balvenie 12 Year Old,40,5,5.75
33,Glen Scotia Double Cask Miniature,46,5,4.95
34,Tomintoul 14 Year Old,46,5,6.95
35,Bowmore 18 Year Old Miniature,43,5,8.95
36,Ardbeg 10 Year Old Miniature,46,5,6.45
37,Highland Park 12 Year Old Miniature,40,5,5.25
38,Smokehead,43,5,4.95
39,Talisker Miniature Gift Pack,45.8,15,15.95
40,Old Ballantruan Peated Malt Miniature,50,5,6.25
41,Jura 10 Year Old Miniature,40,5,4.45
42,Bowmore 12 Year Old Miniature,40,5,6.45
43,Glen Scotia Victoriana Cask Strength,54.2,5,7.95
44,Kilchoman Machir Bay,46,5,8.45
45,Glenmorangie Original 10 Year Old Miniature,40,5,4.75
46,Speyburn 10 Year Old Miniature,40,5,3.95
47,Port Askaig 100 Proof Miniature,57.1,5,7.75
48,Glengoyne 12 Year Old Miniature,43,5,5.95
49,Ardmore Traditional Cask,46,5,4.95
50,Auchentoshan 12 Year Old,40,5,6.25
51,Glenfiddich Mini Pack,40,15,18.95
52,Loch Lomond Whisky Tasting Set,46,13.5,29.95
53,Glenallachie Miniature Gift Set,49,15,29.95
54,Glenlivet Founder's Reserve Miniature,40,5,3.75
55,Balvenie,43,15,23.95
56,Glenlivet 15 Year Old French Oak Reserve,40,5,5.95
57,Glen Garioch 12 Year Old Miniature,48,5,7.45
58,Tomintoul Peaty Tang Miniature,40,5,4.95
59,Old Pulteney 12 Year Old Miniature,40,5,5.25
60,Deanston 12 Year Old Miniature,46.3,5,4.45
61,Aberfeldy Miniature Set,40,15,23.25
62,Loch Lomond Miniature Gift Set,46,15,20.95
63,Craigellachie 13 Year Old,46,5,7.95
64,Tomatin 14 Year Old Miniature,46,5,7.95
65,Tomatin Legacy Miniature,43,5,4.45
66,Tomintoul 25 Year Old Miniature,40,5,19.95
67,Auchentoshan Three Wood Miniature,43,5,7.45
68,Glencadam 15 Year Old Miniature,46,5,7.25
69,Glenfiddich 18 Year Old Miniature,40,5,8.95
70,Glenfarclas 10 Year Old,40,5,6.95
71,Port Askaig 8 Year Old Miniature,45.8,5,5.95
72,Ballechin 10 Year Old,46,5,7.25
73,Glenglassaugh Evolution Miniature,50,5,6.25
74,Glenfarclas 105 Miniature,60,5,10.45
75,Benriach 10 Year Old Miniature Set (Smoky and Original),44.5,10,11.45
76,Benriach The Original Ten,43,5,6.45
77,Loch Lomond Distillery 12 Year Old Miniature Gift Set,46,15,22.95
78,Tomatin 12 Year Old Miniature,43,5,4.95
79,Glenglassaugh Torfa Miniature,50,5,6.25
80,Robert Burns (Arran) Single Malt Miniature,43,5,4.95
81,Tomintoul 16 Year Old Miniature,40,5,7.45
82,Tamdhu Miniature Gift Set,48.6,15,26.95
83,Benriach 12 Year Old Miniature Set (Smoky and Original),46,10,13.95
84,Glenfarclas 40 Year Old Miniature,46,5,125
85,Glenfarclas 12 Year Old Miniature,43,5,8.95
86,Benriach The Smoky Ten,46,5,6.95
87,Tullibardine Tasting Collection,43,20,25.95
88,Springbank 1993 Miniature,44.6,5,49.95
89,Glenfarclas 30 Year Old,43,5,69.95
90,Glenglassaugh Revival Miniature,46,5,5.25
91,Glencadam 10 Year Old Miniature,46,5,5.95
92,Penderyn Distillery Mini Pack,35.75,20,18.95
93,Glenfarclas 15 Year Old Miniature,46,5,11.45
94,Benriach The Smoky Twelve,46,5,8.25
95,Glenfarclas 21 Year Old,43,5,16.45
96,Tomatin 18 Year Old,46,5,9.95
97,Premium Scotch and Irish Whisky Advent Calendar,44.9,72,235
98,Glengoyne 10 Year Old Miniature,40,5,5.45
99,Benriach The Twelve,46,5,7.75
100,Chivas Blend at Home Kit,40,30,29.95
101,Glendronach 12 Year Old Original Miniature,43,5,4.95
102,Arran 10 Year Old Malt Miniature,46,5,5.25
103,Tobermory 12 Year Old,46.3,5,4.75
104,Ledaig 10 Year Old Miniature,46.3,5,3.95
105,Bunnahabhain 12 Year Old Miniature,46.3,5,4.75
106,Single Malts Discovery Mini Pack (Talisker 10,41.9,15,13.45
107,Glenallachie 15 Year Old,46,5,8.45
108,Laphroaig 10 Year Old Miniature,40,5,5.75
109,Balvenie 12 Year Old,40,5,5.75
110,Glen Scotia Double Cask Miniature,46,5,4.95
111,Tomintoul 14 Year Old,46,5,6.95
112,Bowmore 18 Year Old Miniature,43,5,8.95
113,Ardbeg 10 Year Old Miniature,46,5,6.45
114,Highland Park 12 Year Old Miniature,40,5,5.25
115,Smokehead,43,5,4.95
116,Talisker Miniature Gift Pack,45.8,15,15.95
117,Old Ballantruan Peated Malt Miniature,50,5,6.25
118,Jura 10 Year Old Miniature,40,5,4.45
119,Bowmore 12 Year Old Miniature,40,5,6.45
120,Glen Scotia Victoriana Cask Strength,54.2,5,7.95
121,Kilchoman Machir Bay,46,5,8.45
122,Glenmorangie Original 10 Year Old Miniature,40,5,4.75
123,Speyburn 10 Year Old Miniature,40,5,3.95
124,Port Askaig 100 Proof Miniature,57.1,5,7.75
