,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Lochlea Single Malt First Release Sample,46,3,5.95
1,Octomore 10.4 Sample,63.5,3,12.45
2,Bunnahabhain Aonadh 10 Year Old Sample,56.2,3,10.25
3,Octomore 10.3 Sample,61.3,3,13.45
4,Ledaig 18 Year Old,46.3,3,7.45
5,Loch Lomond Whisky Tasting Set,46,13.5,29.95
6,Speyside Whisky Tasting Set,42.5,18,43.95
7,Glen Moray 18 Year Old Sample,47.2,3,7.25
8,Edradour 2009 Sample,57.4,3,9.25
9,Glenallachie 12 Year Old Sauternes Finish Sample,48,3,6.25
10,Ardnamurchan AD04.21 Paul Launois Release Sample,57.6,3,6.95
11,Glen Scotia 18 Year Old Sample,46,3,9.45
12,Craigellachie 17 Year Old Sample,46,3,9.25
13,Ben Nevis 2015 Sample,58.4,3,5.75
14,Caol Ila 15 Year Old Unpeated,59.1,3,8.75
15,Ardnamurchan Single Malt AD07.21:05 Sample,46.8,3,5.45
16,Port Charlotte PAC:01 2011 Heavily Peated Sample,56.1,3,8.25
17,Mortlach 20 Year Old Sample,43.4,3,15.25
18,Lagavulin 12 Year Old Sample,56.4,3,10.95
19,Port Charlotte 10 Year Old Sample,50,3,5.75
20,Mortlach 12 Year Old Sample,43.4,3,5.75
21,Bunnahabhain 25 Year Old Sample,46.3,3,25.95
22,Dalwhinnie 30 Year Old Sample,54.7,3,29.95
23,Linkwood 10 Year Old Sample,48,3,5.95
24,Lochlea Single Malt First Release Sample,46,3,5.95
25,Octomore 10.4 Sample,63.5,3,12.45
26,Bunnahabhain Aonadh 10 Year Old Sample,56.2,3,10.25
27,Octomore 10.3 Sample,61.3,3,13.45
28,Ledaig 18 Year Old,46.3,3,7.45
29,Loch Lomond Whisky Tasting Set,46,13.5,29.95
30,Speyside Whisky Tasting Set,42.5,18,43.95
31,Glen Moray 18 Year Old Sample,47.2,3,7.25
32,Edradour 2009 Sample,57.4,3,9.25
33,Glenallachie 12 Year Old Sauternes Finish Sample,48,3,6.25
34,Ardnamurchan AD04.21 Paul Launois Release Sample,57.6,3,6.95
35,Glen Scotia 18 Year Old Sample,46,3,9.45
36,Craigellachie 17 Year Old Sample,46,3,9.25
37,Ben Nevis 2015 Sample,58.4,3,5.75
38,Caol Ila 15 Year Old Unpeated,59.1,3,8.75
39,Ardnamurchan Single Malt AD07.21:05 Sample,46.8,3,5.45
40,Port Charlotte PAC:01 2011 Heavily Peated Sample,56.1,3,8.25
41,Mortlach 20 Year Old Sample,43.4,3,15.25
42,Lagavulin 12 Year Old Sample,56.4,3,10.95
43,Port Charlotte 10 Year Old Sample,50,3,5.75
44,Mortlach 12 Year Old Sample,43.4,3,5.75
45,Bunnahabhain 25 Year Old Sample,46.3,3,25.95
46,Dalwhinnie 30 Year Old Sample,54.7,3,29.95
47,Linkwood 10 Year Old Sample,48,3,5.95
48,Bruichladdich Islay Barley 2012 Sample,50,3,5.75
49,Aultmore 18 Year Old Sample,46,3,9.25
50,Speyburn 18 Year Old Sample,46,3,7.45
51,Glenfarclas 15 Year Old Sample,57.1,3,7.25
52,Royal Brackla 21 Year Old Sample,46,3,16.75
53,Royal Brackla 18 Year Old Sample,46,3,10.75
54,Glenallachie 13 Year Old Rioja Finish Sample,48,3,6.45
55,Cragganmore 2008 Distillers Edition Sample,40,3,6.45
56,Ardnamurchan Single Malt AD01.21:01 Sample,46.8,3,6.25
57,Glenfarclas Whisky Tasting Set,49,18,64.95
58,Old Pulteney 18 Year Old Sample,46,3,9.95
59,Laphroaig Quarter Cask Sample,48,3,4.95
60,Inchgower 14 Year Old Sample,43,3,5.75
61,Bruichladdich Classic Laddie Sample,50,3,5.25
62,Blair Athol 12 Year Old Sample,43,3,5.45
63,Spey Tenne Sample,46,3,4.95
64,Glenlivet Old & Rare Whisky Tasting Set,45.3,6,175
65,Loch Lomond 12 Year Old Sample,46,3,4.95
66,Torabhaig Legacy Series Allt Glean Sample,46,3,5.75
67,Balvenie 25 Year Old Rare Marriages Sample,48,3,41.25
68,Miltonduff 1999 Sample,50.7,3,9.45
69,Ballechin 2009 Sample,58.8,3,8.95
70,Cask Selection Whisky Tasting Set,44.5,12,49.95
71,Bowmore: A Journey Through Flavour Whisky Tasting Set,46.6,6,94.95
72,Tomatin 2008 Monbazillac Cask Sample,46,3,6.75
73,Glenallachie 11 Year Old Grattamacco Finish Sample,48,3,6.25
74,Lp12 - Elements of Islay Sample,54.7,3,7.75
75,Balblair 2005 Sample,48.5,3,11.75
76,Blair Athol 11 Year Old Sample,48,3,5.95
77,Arran 23 Year Old Drumadroon Point,49.5,3,18.75
78,Loch Lomond 2010 Sample,57.7,3,6.45
79,Bunnahabhain Toiteach A Dha Sample,46.3,3,5.25
80,Balblair 25 Year Old Sample,46,3,37.45
81,Caol Ila 18 Year Old Sample,59.8,3,10.75
82,Port Askaig 12 Year Old Sample,45.8,3,6.95
83,Port Askaig Premium Whisky Tasting Set,47.1,18,125
84,Balblair 18 Year Old Sample,46,3,10.75
85,Old Pulteney 15 Year Old Sample,46,3,6.75
86,Talisker Port Ruighe Sample,45.8,3,5.75
87,Macallan Amber Sample,40,3,15.25
88,Glenfarclas 105 Sample,60,3,5.95
89,Caol Ila 12 Year Old Sample,43,3,5.25
90,Glenkinchie 2007 Distillers Edition Sample,43,3,6.25
91,Spey Trutina Cask Strength Batch 3 Sample,59.1,3,6.25
92,Glen Moray 2008,52.9,3,7.25
93,Cragganmore 1998 Distillers Edition Sample,40,3,6.95
