,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Deanston 18 Year Old,46.3,70,63.95
1,Lagavulin 16 Year Old,43,70,74.95
2,Lagavulin 2006 Distillers Edition,43,70,89.95
3,Ben Nevis 10 Year Old,46,70,52.95
4,Glendronach 21 Year Old Parliament,48,70,175
5,Arran 10 Year Old,46,70,38.75
6,Bunnahabhain Aonadh 10 Year Old,56.2,70,99.95
7,Mortlach 15 Year Old,46,70,86.95
8,Edradour 10 Year Old,40,70,42.95
9,Clynelish Reserve,51.2,70,42.95
10,Dalmore 15 Year Old,40,70,74.95
11,Talisker 10 Year Old,45.8,70,42.95
12,Balvenie 12 Year Old DoubleWood,40,70,46.75
13,Laphroaig 10 Year Old,40,70,35.95
14,Laphroaig 10 Year Old Sherry Oak Finish,48,70,59.95
15,Oban Bay Reserve,43,70,62.95
16,Ardbeg Uigeadail,54.2,70,62.75
17,Edradour 2009,55.1,70,105
18,Personalised Highland Special Reserve Single Malt,48,70,54.95
19,Glenlivet 18 Year Old Batch Reserve,40,70,94.95
20,Glendronach 15 Year Old Revival,46,70,69.95
21,Laphroaig 10 Year Old,58.6,70,73.95
22,Glenfiddich Project XX,47,70,48.95
23,Glenallachie 15 Year Old,46,70,66.95
24,Deanston 18 Year Old,46.3,70,63.95
25,Lagavulin 16 Year Old,43,70,74.95
26,Lagavulin 2006 Distillers Edition,43,70,89.95
27,Ben Nevis 10 Year Old,46,70,52.95
28,Glendronach 21 Year Old Parliament,48,70,175
29,Arran 10 Year Old,46,70,38.75
30,Bunnahabhain Aonadh 10 Year Old,56.2,70,99.95
31,Mortlach 15 Year Old,46,70,86.95
32,Edradour 10 Year Old,40,70,42.95
33,Clynelish Reserve,51.2,70,42.95
34,Dalmore 15 Year Old,40,70,74.95
35,Talisker 10 Year Old,45.8,70,42.95
36,Balvenie 12 Year Old DoubleWood,40,70,46.75
37,Laphroaig 10 Year Old,40,70,35.95
38,Laphroaig 10 Year Old Sherry Oak Finish,48,70,59.95
39,Oban Bay Reserve,43,70,62.95
40,Ardbeg Uigeadail,54.2,70,62.75
41,Edradour 2009,55.1,70,105
42,Personalised Highland Special Reserve Single Malt,48,70,54.95
