,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Three Ships 12 Year Old,46.3,70,41.95
1,Bain's Cape Mountain Whisky,40,70,24.45
2,Three Ships 12 Year Old,46.3,70,41.95
3,Bain's Cape Mountain Whisky,40,70,24.45
4,Three Ships 12 Year Old,46.3,70,41.95
5,Bain's Cape Mountain Whisky,40,70,24.45
6,Three Ships 12 Year Old,46.3,70,41.95
7,Bain's Cape Mountain Whisky,40,70,24.45
8,Three Ships 12 Year Old,46.3,70,41.95
9,Bain's Cape Mountain Whisky,40,70,24.45
10,Three Ships 12 Year Old,46.3,70,41.95
11,Bain's Cape Mountain Whisky,40,70,24.45
