,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Nomad Outland Whisky,41.3,70,31.45
1,Equipos Navazos La Bota 105 de Grain Whisky,46,70,69.25
2,Equipos Navazos La Bota 104 de Malt Whisky,46,70,82.25
3,Nomad Outland Whisky,41.3,70,31.45
4,Equipos Navazos La Bota 105 de Grain Whisky,46,70,69.25
5,Equipos Navazos La Bota 104 de Malt Whisky,46,70,82.25
6,Nomad Outland Whisky,41.3,70,31.45
7,Equipos Navazos La Bota 105 de Grain Whisky,46,70,69.25
8,Equipos Navazos La Bota 104 de Malt Whisky,46,70,82.25
9,Nomad Outland Whisky,41.3,70,31.45
10,Equipos Navazos La Bota 105 de Grain Whisky,46,70,69.25
11,Equipos Navazos La Bota 104 de Malt Whisky,46,70,82.25
12,Nomad Outland Whisky,41.3,70,31.45
13,Equipos Navazos La Bota 105 de Grain Whisky,46,70,69.25
14,Equipos Navazos La Bota 104 de Malt Whisky,46,70,82.25
15,Nomad Outland Whisky,41.3,70,31.45
16,Equipos Navazos La Bota 105 de Grain Whisky,46,70,69.25
17,Equipos Navazos La Bota 104 de Malt Whisky,46,70,82.25
