,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Mortlach 15 Year Old,46,70,86.95
1,Balvenie 12 Year Old DoubleWood,40,70,46.75
2,Glenlivet 18 Year Old Batch Reserve,40,70,94.95
3,Glenfiddich Project XX,47,70,48.95
4,Glenallachie 15 Year Old,46,70,66.95
5,Glenallachie 12 Year Old,46,70,47.95
6,Balvenie 14 Year Old,43,70,59.95
7,Glenfiddich 15 Year Old,40,20,12.95
8,Glenfarclas 15 Year Old,46,70,57.95
9,Glenfiddich 18 Year Old,40,70,81.95
10,Dalwhinnie 15 Year Old,43,70,42.95
11,Cardhu Gold Reserve,40,70,42.95
12,Macallan Enigma,44.9,70,275
13,Glenlivet 15 Year Old,40,70,51.45
14,Balvenie 12 Year Old,43,70,48.75
15,Aberlour 12 Year Old,40,70,40.95
16,Linkwood 1997,56.6,70,199
17,Glenfarclas 15 Year Old,57.1,70,74.95
18,Balvenie 14 Year Old,48.3,70,70.45
19,Cragganmore 12 Year Old,40,70,37.95
20,Dailuaine 16 Year Old,43,70,58.95
21,Aberlour A'Bunadh,61.5,70,82.95
22,Glenfiddich 21 Year Old,40,70,160
23,Glenfiddich 23 Year Old,40,70,240
24,Mortlach 15 Year Old,46,70,86.95
25,Balvenie 12 Year Old DoubleWood,40,70,46.75
26,Glenlivet 18 Year Old Batch Reserve,40,70,94.95
27,Glenfiddich Project XX,47,70,48.95
28,Glenallachie 15 Year Old,46,70,66.95
29,Glenallachie 12 Year Old,46,70,47.95
30,Balvenie 14 Year Old,43,70,59.95
31,Glenfiddich 15 Year Old,40,20,12.95
32,Glenfarclas 15 Year Old,46,70,57.95
33,Glenfiddich 18 Year Old,40,70,81.95
34,Dalwhinnie 15 Year Old,43,70,42.95
35,Cardhu Gold Reserve,40,70,42.95
36,Macallan Enigma,44.9,70,275
37,Glenlivet 15 Year Old,40,70,51.45
38,Balvenie 12 Year Old,43,70,48.75
39,Aberlour 12 Year Old,40,70,40.95
40,Linkwood 1997,56.6,70,199
41,Glenfarclas 15 Year Old,57.1,70,74.95
42,Balvenie 14 Year Old,48.3,70,70.45
43,Cragganmore 12 Year Old,40,70,37.95
44,Dailuaine 16 Year Old,43,70,58.95
45,Aberlour A'Bunadh,61.5,70,82.95
46,Glenfiddich 21 Year Old,40,70,160
47,Glenfiddich 23 Year Old,40,70,240
48,Benrinnes 15 Year Old,43,70,51.95
49,Personalised 12 Year Old Speyside Scotch Whisky,50.1,70,69.95
50,Longmorn 18 Year Old,48,70,87.45
51,Singleton Glendullan Reserve,40,70,39.25
52,Benromach 15 Year Old,43,70,65.95
53,Classic Malts Gentle Collection,43,60,46.95
54,Glenfarclas 105°,60,70,55.95
55,Craigellachie 13 Year Old,46,70,53.95
56,Glenrothes 2004,48.8,70,54.95
57,Glenallachie 13 Year Old,48,70,67.95
58,Aberlour 10 Year Old,40,70,39.95
59,Balvenie The Edge of Burnhead Wood,48.7,70,265
60,Glenlivet 12 Year Old,40,70,37.95
61,Glenfarclas 21 Year Old,43,70,120
62,Benriach 2009,60.8,70,89.95
63,Glenfiddich 15 Year Old,40,70,50.75
64,Dalwhinnie 2006 Distillers Edition,43,70,67.95
65,Caperdonich 18 Year Old Peated,48,70,120
66,Mortlach 20 Year Old,43.4,70,199
67,Glen Moray Sherry Cask Finish,40,70,26.95
68,Mortlach Rare Old,43.4,50,59.95
69,Cardhu 15 Year Old,40,70,49.95
70,Aberlour A'Bunadh Alba,62.7,70,84.95
71,Glenallachie 11 Year Old,48,70,59.95
72,Linkwood 2009,58.6,70,59.95
73,Tamdhu 15 Year Old,46,70,84.95
74,Glen Moray 18 Year Old,47.2,70,73.75
75,Glenfarclas 25 Year Old,43,70,215
76,Glenfarclas 10 Year Old,40,70,35.95
77,Glen Elgin 12 Year Old,43,70,39.95
78,Aberlour 14 Year Old,40,70,54.45
79,Glenfiddich Fire and Cane,43,70,44.95
80,Knockando 12 Year Old,43,70,37.95
81,Glen Moray 12 Year Old,40,70,36.95
82,Cardhu Gold Reserve,40,70,36.95
83,Personalised 21 Year Old Scotch Whisky,49.4,70,135
84,Benromach Cask Strength Vintage 2010,58.5,70,59.95
85,Mortlach 2007,55.9,70,135
86,Glentauchers 2007,60,50,79.95
87,Strathisla 2006,58.4,50,79.95
88,Tamdhu 12 Year Old,43,70,45.95
89,Glenrothes 12 Year Old,40,70,41.95
90,Glen Keith Distillery Edition,40,70,29.95
91,Craigellachie 17 Year Old,46,70,105
92,Stronachie 10 Year Old,43,70,32.95
93,Glenfiddich Collection,40,60,48.95
94,Tomintoul 16 Year Old,40,70,52.95
95,Linkwood 12 Year Old,43,70,47.95
96,Glenfiddich 12 Year Old,40,70,35.95
97,Glenfarclas 12 Year Old,43,70,41.95
98,Glenallachie 10 Year Old French Oak,48,70,61.95
99,South Star Speyside Single Malt 2011,48,70,47.95
100,Benromach Contrasts: Cara Gold Malt 2010,46,70,49.95
101,A Speyside Whisky 2001,57.6,70,135
102,Linkwood 15 Year Old,46,70,79.95
103,Tamnavulin Sherry Edition,40,70,32.95
104,Glen Grant 18 Year Old + 2 Glasses Pack,43,70,130
105,Tomintoul Tlath,40,70,29.25
106,Dalwhinnie Winter's Gold,43,70,41.95
107,Glenfiddich Malt Master's,43,70,57.75
108,Craigellachie 13 Year Old,46,70,51.95
109,Benromach 10 Year Old,43,70,36.95
110,Glen Grant 10 Year Old,40,70,33.45
111,Benriach 2009,59.7,70,103
112,Linkwood 2008,59,70,72.95
113,Singleton of Glendullan 2001,54.6,70,135
114,Benriach The Twelve,46,70,41.95
115,Glenlivet 2007,65.3,70,99.95
116,Glenrothes 1995,43,75,99.95
117,Glenlivet 1981,47.6,70,695
118,Glenallachie Distillery Edition,40,70,33.95
119,Tamnavulin Double Cask,40,70,32.75
120,Glenlivet Founder's Reserve,40,70,33.95
121,Macallan Estate Reserve,45.7,70,550
122,Cragganmore 12 Year Old,40,20,13.95
123,Cardhu 12 Year Old,40,70,38.95
124,Old Pulteney 2008,55.5,70,102
125,Aultmore 10 Year Old,43,70,47.95
126,Balvenie Tun 1509,52.2,70,330
127,Glenlivet Caribbean Reserve,40,70,35.95
128,Strathisla 2003,62.6,50,94.95
129,Longmorn 2002,56.2,70,135
130,Glenfiddich IPA Cask,43,70,47.95
131,Glen Moray 10 Year Old,40,70,39.95
132,Speyburn Bradan Orach,40,70,25.25
133,Inchgower 14 Year Old,43,70,49.95
134,Knockando 2011,46,70,36.95
135,Benrinnes 1996,53.2,70,158
136,Aultmore 2009,48.4,70,62.95
137,Auchroisk 2007,46,70,58.95
138,Craigellachie 2007,46,70,64.95
139,Glen Keith 2013,47.5,70,52.95
140,Glentauchers 1997,47.3,70,145
141,Tomintoul 2004,46,70,79.95
142,Glen Moray 1998,52.9,70,137
143,Glentauchers 2010,47.5,70,59.45
