,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Mackmyra Limousin,46.1,70,59.95
1,Mackmyra Bjorksav Single Malt,46.1,70,58.95
2,Box Dalvve,46,70,58.75
3,Mackmyra Svensk Rok,46.1,50,44.95
4,Mackmyra Svensk Ek,46.1,70,49.75
5,Mackmyra Intelligens A:02,46.1,70,58.95
6,Mackmyra Brukswhisky DLX,46.6,70,105
7,Spirit of Hven Mercurious Corn Whisky,45.6,50,48.75
8,High Coast Hav,48,70,53.95
9,Mack by Mackmyra,40,70,35.25
10,Box The 2nd Step Collection 03,51.3,50,77.95
11,High Coast Alv,46,70,53.95
12,Spirit of Hven,45,50,89.95
13,Mackmyra Moment Karibien,44.4,70,104
14,Spirit of Hven Hvenus Rye Whisky,45.6,50,48.75
15,Mackmyra Moment Efva,46.3,70,104
16,Spirit of Hven,45,50,89.95
17,Mackmyra Prestige,46.1,70,104
18,Spirit of Hven,45,50,89.95
19,Box Quercus Robur,50.8,50,81.45
20,Spirit of Hven Alioth,45,50,89.95
21,Box American Oak,50.8,50,91.95
22,Box The Explorer,48.3,50,59.95
23,Box Early Days 002,51.5,50,74.95
24,Mackmyra Limousin,46.1,70,59.95
25,Mackmyra Bjorksav Single Malt,46.1,70,58.95
26,Box Dalvve,46,70,58.75
27,Mackmyra Svensk Rok,46.1,50,44.95
28,Mackmyra Svensk Ek,46.1,70,49.75
29,Mackmyra Intelligens A:02,46.1,70,58.95
30,Mackmyra Brukswhisky DLX,46.6,70,105
31,Spirit of Hven Mercurious Corn Whisky,45.6,50,48.75
32,High Coast Hav,48,70,53.95
33,Mack by Mackmyra,40,70,35.25
34,Box The 2nd Step Collection 03,51.3,50,77.95
35,High Coast Alv,46,70,53.95
36,Spirit of Hven,45,50,89.95
37,Mackmyra Moment Karibien,44.4,70,104
38,Spirit of Hven Hvenus Rye Whisky,45.6,50,48.75
39,Mackmyra Moment Efva,46.3,70,104
40,Spirit of Hven,45,50,89.95
41,Mackmyra Prestige,46.1,70,104
42,Spirit of Hven,45,50,89.95
43,Box Quercus Robur,50.8,50,81.45
44,Spirit of Hven Alioth,45,50,89.95
45,Box American Oak,50.8,50,91.95
46,Box The Explorer,48.3,50,59.95
47,Box Early Days 002,51.5,50,74.95
48,Box Early Days 001,51.2,50,74.95
49,Spirit of Hven Merak,45,50,94.95
50,Mackmyra Vit Hund,46.1,50,31.75
51,Spirit of Hven Dubhe,45,50,94.95
52,Box Advanced Master Class,56,100,163
53,Spirit of Hven Urania Swedish Whisky,45,50,150
54,Mackmyra Limousin,46.1,70,59.95
55,Mackmyra Bjorksav Single Malt,46.1,70,58.95
56,Box Dalvve,46,70,58.75
57,Mackmyra Svensk Rok,46.1,50,44.95
58,Mackmyra Svensk Ek,46.1,70,49.75
59,Mackmyra Intelligens A:02,46.1,70,58.95
60,Mackmyra Brukswhisky DLX,46.6,70,105
61,Spirit of Hven Mercurious Corn Whisky,45.6,50,48.75
62,High Coast Hav,48,70,53.95
63,Mack by Mackmyra,40,70,35.25
64,Box The 2nd Step Collection 03,51.3,50,77.95
65,High Coast Alv,46,70,53.95
66,Spirit of Hven,45,50,89.95
67,Mackmyra Moment Karibien,44.4,70,104
68,Spirit of Hven Hvenus Rye Whisky,45.6,50,48.75
69,Mackmyra Moment Efva,46.3,70,104
70,Spirit of Hven,45,50,89.95
71,Mackmyra Prestige,46.1,70,104
72,Spirit of Hven,45,50,89.95
73,Box Quercus Robur,50.8,50,81.45
74,Spirit of Hven Alioth,45,50,89.95
75,Box American Oak,50.8,50,91.95
76,Box The Explorer,48.3,50,59.95
77,Box Early Days 002,51.5,50,74.95
78,Mackmyra Limousin,46.1,70,59.95
79,Mackmyra Bjorksav Single Malt,46.1,70,58.95
80,Box Dalvve,46,70,58.75
81,Mackmyra Svensk Rok,46.1,50,44.95
82,Mackmyra Svensk Ek,46.1,70,49.75
83,Mackmyra Intelligens A:02,46.1,70,58.95
84,Mackmyra Brukswhisky DLX,46.6,70,105
85,Spirit of Hven Mercurious Corn Whisky,45.6,50,48.75
86,High Coast Hav,48,70,53.95
87,Mack by Mackmyra,40,70,35.25
88,Box The 2nd Step Collection 03,51.3,50,77.95
89,High Coast Alv,46,70,53.95
90,Spirit of Hven,45,50,89.95
91,Mackmyra Moment Karibien,44.4,70,104
92,Spirit of Hven Hvenus Rye Whisky,45.6,50,48.75
93,Mackmyra Moment Efva,46.3,70,104
94,Spirit of Hven,45,50,89.95
95,Mackmyra Prestige,46.1,70,104
96,Spirit of Hven,45,50,89.95
97,Box Quercus Robur,50.8,50,81.45
98,Spirit of Hven Alioth,45,50,89.95
99,Box American Oak,50.8,50,91.95
100,Box The Explorer,48.3,50,59.95
101,Box Early Days 002,51.5,50,74.95
102,Mackmyra Limousin,46.1,70,59.95
103,Mackmyra Bjorksav Single Malt,46.1,70,58.95
104,Box Dalvve,46,70,58.75
105,Mackmyra Svensk Rok,46.1,50,44.95
106,Mackmyra Svensk Ek,46.1,70,49.75
107,Mackmyra Intelligens A:02,46.1,70,58.95
108,Mackmyra Brukswhisky DLX,46.6,70,105
109,Spirit of Hven Mercurious Corn Whisky,45.6,50,48.75
110,High Coast Hav,48,70,53.95
111,Mack by Mackmyra,40,70,35.25
112,Box The 2nd Step Collection 03,51.3,50,77.95
113,High Coast Alv,46,70,53.95
114,Spirit of Hven,45,50,89.95
115,Mackmyra Moment Karibien,44.4,70,104
116,Spirit of Hven Hvenus Rye Whisky,45.6,50,48.75
117,Mackmyra Moment Efva,46.3,70,104
118,Spirit of Hven,45,50,89.95
119,Mackmyra Prestige,46.1,70,104
120,Spirit of Hven,45,50,89.95
121,Box Quercus Robur,50.8,50,81.45
122,Spirit of Hven Alioth,45,50,89.95
123,Box American Oak,50.8,50,91.95
124,Box The Explorer,48.3,50,59.95
125,Box Early Days 002,51.5,50,74.95
