,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Seven Seals The Age of Leo,49.7,50,69.95
1,Seven Seals The Age of Taurus,49.7,50,69.95
2,Langatun Jacob's Dram 2015,49.12,50,83.95
3,Langatun Winter Wedding,46,50,67.95
4,Langatun Old Deer,58.5,50,71.95
5,Langatun Old Crow,46,50,70.95
6,Seven Seals The Age of Scorpio,49.7,50,69.95
7,Seven Seals The Age of Aquarius,49.7,50,69.95
8,Langatun 2016,49.12,50,83.95
9,Langatun Old Bear,46,50,53.95
10,Langatun Old Deer,46,50,53.95
11,Seven Seals,58.7,50,74.95
12,Seven Seals,46,70,74.95
13,Seven Seals,46,70,74.95
14,Seven Seals,46,70,74.95
15,Seven Seals The Age of Leo,49.7,50,69.95
16,Seven Seals The Age of Taurus,49.7,50,69.95
17,Langatun Jacob's Dram 2015,49.12,50,83.95
18,Langatun Winter Wedding,46,50,67.95
19,Langatun Old Deer,58.5,50,71.95
20,Langatun Old Crow,46,50,70.95
21,Seven Seals The Age of Scorpio,49.7,50,69.95
22,Seven Seals The Age of Aquarius,49.7,50,69.95
23,Langatun 2016,49.12,50,83.95
24,Langatun Old Bear,46,50,53.95
25,Langatun Old Deer,46,50,53.95
26,Seven Seals,58.7,50,74.95
27,Seven Seals,46,70,74.95
28,Seven Seals,46,70,74.95
29,Seven Seals,46,70,74.95
30,Seven Seals The Age of Leo,49.7,50,69.95
31,Seven Seals The Age of Taurus,49.7,50,69.95
32,Langatun Jacob's Dram 2015,49.12,50,83.95
33,Langatun Winter Wedding,46,50,67.95
34,Langatun Old Deer,58.5,50,71.95
35,Langatun Old Crow,46,50,70.95
36,Seven Seals The Age of Scorpio,49.7,50,69.95
37,Seven Seals The Age of Aquarius,49.7,50,69.95
38,Langatun 2016,49.12,50,83.95
39,Langatun Old Bear,46,50,53.95
40,Langatun Old Deer,46,50,53.95
41,Seven Seals,58.7,50,74.95
42,Seven Seals,46,70,74.95
43,Seven Seals,46,70,74.95
44,Seven Seals,46,70,74.95
45,Seven Seals The Age of Leo,49.7,50,69.95
46,Seven Seals The Age of Taurus,49.7,50,69.95
47,Langatun Jacob's Dram 2015,49.12,50,83.95
48,Langatun Winter Wedding,46,50,67.95
49,Langatun Old Deer,58.5,50,71.95
50,Langatun Old Crow,46,50,70.95
51,Seven Seals The Age of Scorpio,49.7,50,69.95
52,Seven Seals The Age of Aquarius,49.7,50,69.95
53,Langatun 2016,49.12,50,83.95
54,Langatun Old Bear,46,50,53.95
55,Langatun Old Deer,46,50,53.95
56,Seven Seals,58.7,50,74.95
57,Seven Seals,46,70,74.95
58,Seven Seals,46,70,74.95
59,Seven Seals,46,70,74.95
60,Seven Seals The Age of Leo,49.7,50,69.95
61,Seven Seals The Age of Taurus,49.7,50,69.95
62,Langatun Jacob's Dram 2015,49.12,50,83.95
63,Langatun Winter Wedding,46,50,67.95
64,Langatun Old Deer,58.5,50,71.95
65,Langatun Old Crow,46,50,70.95
66,Seven Seals The Age of Scorpio,49.7,50,69.95
67,Seven Seals The Age of Aquarius,49.7,50,69.95
68,Langatun 2016,49.12,50,83.95
69,Langatun Old Bear,46,50,53.95
70,Langatun Old Deer,46,50,53.95
71,Seven Seals,58.7,50,74.95
72,Seven Seals,46,70,74.95
73,Seven Seals,46,70,74.95
74,Seven Seals,46,70,74.95
75,Seven Seals The Age of Leo,49.7,50,69.95
76,Seven Seals The Age of Taurus,49.7,50,69.95
77,Langatun Jacob's Dram 2015,49.12,50,83.95
78,Langatun Winter Wedding,46,50,67.95
79,Langatun Old Deer,58.5,50,71.95
80,Langatun Old Crow,46,50,70.95
81,Seven Seals The Age of Scorpio,49.7,50,69.95
82,Seven Seals The Age of Aquarius,49.7,50,69.95
83,Langatun 2016,49.12,50,83.95
84,Langatun Old Bear,46,50,53.95
85,Langatun Old Deer,46,50,53.95
86,Seven Seals,58.7,50,74.95
87,Seven Seals,46,70,74.95
88,Seven Seals,46,70,74.95
89,Seven Seals,46,70,74.95
