,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Kavalan Distillery Select No.1,40,70,52.95
1,Kavalan Classic Single Malt,40,70,69.45
2,Kavalan Sherry Oak,46,70,95.95
3,Kavalan Solist Vinho Barrique 004A (2014),57.8,70,210
4,Kavalan Distillery Select No.2,40,70,54.95
5,Yushan Sherry Single Malt,46,70,56.95
6,Kavalan Concertmaster,40,50,49.95
7,Kavalan Podium,46,70,78.45
8,Kavalan Solist Manzanilla Cask #011A (2011),57.8,70,360
9,Kavalan 2011 Rum Cask,57.1,70,175
10,Kavalan Bourbon Oak,46,70,81.95
11,Kavalan King Car Conductor,46,70,78.95
12,Yushan Bourbon Single Malt,46,70,52.25
13,Kavalan Classic Single Malt,40,50,50.95
14,Kavalan Solist Moscatel Cask #031A (2010),56.3,70,360
15,Kavalan Concertmaster,40,70,65.45
16,Kavalan Distillery Select No.1,40,70,52.95
17,Kavalan Classic Single Malt,40,70,69.45
18,Kavalan Sherry Oak,46,70,95.95
19,Kavalan Solist Vinho Barrique 004A (2014),57.8,70,210
20,Kavalan Distillery Select No.2,40,70,54.95
21,Yushan Sherry Single Malt,46,70,56.95
22,Kavalan Concertmaster,40,50,49.95
23,Kavalan Podium,46,70,78.45
24,Kavalan Solist Manzanilla Cask #011A (2011),57.8,70,360
25,Kavalan 2011 Rum Cask,57.1,70,175
26,Kavalan Bourbon Oak,46,70,81.95
27,Kavalan King Car Conductor,46,70,78.95
28,Yushan Bourbon Single Malt,46,70,52.25
29,Kavalan Classic Single Malt,40,50,50.95
30,Kavalan Solist Moscatel Cask #031A (2010),56.3,70,360
31,Kavalan Concertmaster,40,70,65.45
32,Kavalan Distillery Select No.1,40,70,52.95
33,Kavalan Classic Single Malt,40,70,69.45
34,Kavalan Sherry Oak,46,70,95.95
35,Kavalan Solist Vinho Barrique 004A (2014),57.8,70,210
36,Kavalan Distillery Select No.2,40,70,54.95
37,Yushan Sherry Single Malt,46,70,56.95
38,Kavalan Concertmaster,40,50,49.95
39,Kavalan Podium,46,70,78.45
40,Kavalan Solist Manzanilla Cask #011A (2011),57.8,70,360
41,Kavalan 2011 Rum Cask,57.1,70,175
42,Kavalan Bourbon Oak,46,70,81.95
43,Kavalan King Car Conductor,46,70,78.95
44,Yushan Bourbon Single Malt,46,70,52.25
45,Kavalan Classic Single Malt,40,50,50.95
46,Kavalan Solist Moscatel Cask #031A (2010),56.3,70,360
47,Kavalan Concertmaster,40,70,65.45
48,Kavalan Distillery Select No.1,40,70,52.95
49,Kavalan Classic Single Malt,40,70,69.45
50,Kavalan Sherry Oak,46,70,95.95
51,Kavalan Solist Vinho Barrique 004A (2014),57.8,70,210
52,Kavalan Distillery Select No.2,40,70,54.95
53,Yushan Sherry Single Malt,46,70,56.95
54,Kavalan Concertmaster,40,50,49.95
55,Kavalan Podium,46,70,78.45
56,Kavalan Solist Manzanilla Cask #011A (2011),57.8,70,360
57,Kavalan 2011 Rum Cask,57.1,70,175
58,Kavalan Bourbon Oak,46,70,81.95
59,Kavalan King Car Conductor,46,70,78.95
60,Yushan Bourbon Single Malt,46,70,52.25
61,Kavalan Classic Single Malt,40,50,50.95
62,Kavalan Solist Moscatel Cask #031A (2010),56.3,70,360
63,Kavalan Concertmaster,40,70,65.45
64,Kavalan Distillery Select No.1,40,70,52.95
65,Kavalan Classic Single Malt,40,70,69.45
66,Kavalan Sherry Oak,46,70,95.95
67,Kavalan Solist Vinho Barrique 004A (2014),57.8,70,210
68,Kavalan Distillery Select No.2,40,70,54.95
69,Yushan Sherry Single Malt,46,70,56.95
70,Kavalan Concertmaster,40,50,49.95
71,Kavalan Podium,46,70,78.45
72,Kavalan Solist Manzanilla Cask #011A (2011),57.8,70,360
73,Kavalan 2011 Rum Cask,57.1,70,175
74,Kavalan Bourbon Oak,46,70,81.95
75,Kavalan King Car Conductor,46,70,78.95
76,Yushan Bourbon Single Malt,46,70,52.25
77,Kavalan Classic Single Malt,40,50,50.95
78,Kavalan Solist Moscatel Cask #031A (2010),56.3,70,360
79,Kavalan Concertmaster,40,70,65.45
80,Kavalan Distillery Select No.1,40,70,52.95
81,Kavalan Classic Single Malt,40,70,69.45
82,Kavalan Sherry Oak,46,70,95.95
83,Kavalan Solist Vinho Barrique 004A (2014),57.8,70,210
84,Kavalan Distillery Select No.2,40,70,54.95
85,Yushan Sherry Single Malt,46,70,56.95
86,Kavalan Concertmaster,40,50,49.95
87,Kavalan Podium,46,70,78.45
88,Kavalan Solist Manzanilla Cask #011A (2011),57.8,70,360
89,Kavalan 2011 Rum Cask,57.1,70,175
90,Kavalan Bourbon Oak,46,70,81.95
91,Kavalan King Car Conductor,46,70,78.95
92,Yushan Bourbon Single Malt,46,70,52.25
93,Kavalan Classic Single Malt,40,50,50.95
94,Kavalan Solist Moscatel Cask #031A (2010),56.3,70,360
95,Kavalan Concertmaster,40,70,65.45
