,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Penderyn Rich Oak,46,70,44.95
1,Penderyn Madeira Finish,46,70,34.95
2,Penderyn Hiraeth,46,70,54.95
3,Penderyn Royal Welsh Whisky,43,70,42.95
4,Aber Falls Distillers Cut,40,70,64.95
5,Penderyn Madeira Finish 2013,57.9,70,120
6,Penderyn Sherrywood,46,70,41.95
7,Penderyn Whisky,48,70,69.95
8,Aber Falls Whisky,40,70,23.95
9,Penderyn Legend,41,70,29.95
10,Penderyn Peated,46,70,39.25
11,Penderyn Portwood,46,70,57.95
12,Penderyn Myth,41,70,32.95
13,Royal Welsh Whisky,40,75,"5,000"
14,Penderyn Celt,41,70,32.95
15,Penderyn Rich Oak,46,70,44.95
16,Penderyn Madeira Finish,46,70,34.95
17,Penderyn Hiraeth,46,70,54.95
18,Penderyn Royal Welsh Whisky,43,70,42.95
19,Aber Falls Distillers Cut,40,70,64.95
20,Penderyn Madeira Finish 2013,57.9,70,120
21,Penderyn Sherrywood,46,70,41.95
22,Penderyn Whisky,48,70,69.95
23,Aber Falls Whisky,40,70,23.95
24,Penderyn Legend,41,70,29.95
25,Penderyn Peated,46,70,39.25
26,Penderyn Portwood,46,70,57.95
27,Penderyn Myth,41,70,32.95
28,Royal Welsh Whisky,40,75,"5,000"
29,Penderyn Celt,41,70,32.95
30,Penderyn Rich Oak,46,70,44.95
31,Penderyn Madeira Finish,46,70,34.95
32,Penderyn Hiraeth,46,70,54.95
33,Penderyn Royal Welsh Whisky,43,70,42.95
34,Aber Falls Distillers Cut,40,70,64.95
35,Penderyn Madeira Finish 2013,57.9,70,120
36,Penderyn Sherrywood,46,70,41.95
37,Penderyn Whisky,48,70,69.95
38,Aber Falls Whisky,40,70,23.95
39,Penderyn Legend,41,70,29.95
40,Penderyn Peated,46,70,39.25
41,Penderyn Portwood,46,70,57.95
42,Penderyn Myth,41,70,32.95
43,Royal Welsh Whisky,40,75,"5,000"
44,Penderyn Celt,41,70,32.95
45,Penderyn Rich Oak,46,70,44.95
46,Penderyn Madeira Finish,46,70,34.95
47,Penderyn Hiraeth,46,70,54.95
48,Penderyn Royal Welsh Whisky,43,70,42.95
49,Aber Falls Distillers Cut,40,70,64.95
50,Penderyn Madeira Finish 2013,57.9,70,120
51,Penderyn Sherrywood,46,70,41.95
52,Penderyn Whisky,48,70,69.95
53,Aber Falls Whisky,40,70,23.95
54,Penderyn Legend,41,70,29.95
55,Penderyn Peated,46,70,39.25
56,Penderyn Portwood,46,70,57.95
57,Penderyn Myth,41,70,32.95
58,Royal Welsh Whisky,40,75,"5,000"
59,Penderyn Celt,41,70,32.95
60,Penderyn Rich Oak,46,70,44.95
61,Penderyn Madeira Finish,46,70,34.95
62,Penderyn Hiraeth,46,70,54.95
63,Penderyn Royal Welsh Whisky,43,70,42.95
64,Aber Falls Distillers Cut,40,70,64.95
65,Penderyn Madeira Finish 2013,57.9,70,120
66,Penderyn Sherrywood,46,70,41.95
67,Penderyn Whisky,48,70,69.95
68,Aber Falls Whisky,40,70,23.95
69,Penderyn Legend,41,70,29.95
70,Penderyn Peated,46,70,39.25
71,Penderyn Portwood,46,70,57.95
72,Penderyn Myth,41,70,32.95
73,Royal Welsh Whisky,40,75,"5,000"
74,Penderyn Celt,41,70,32.95
75,Penderyn Rich Oak,46,70,44.95
76,Penderyn Madeira Finish,46,70,34.95
77,Penderyn Hiraeth,46,70,54.95
78,Penderyn Royal Welsh Whisky,43,70,42.95
79,Aber Falls Distillers Cut,40,70,64.95
80,Penderyn Madeira Finish 2013,57.9,70,120
81,Penderyn Sherrywood,46,70,41.95
82,Penderyn Whisky,48,70,69.95
83,Aber Falls Whisky,40,70,23.95
84,Penderyn Legend,41,70,29.95
85,Penderyn Peated,46,70,39.25
86,Penderyn Portwood,46,70,57.95
87,Penderyn Myth,41,70,32.95
88,Royal Welsh Whisky,40,75,"5,000"
89,Penderyn Celt,41,70,32.95
