,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Drambuie Whisky Liqueur Miniature,40,5,1.95
1,Jack Daniel's Tennessee Honey Liqueur Miniature,35,5,3.45
2,Jack Daniel's Tennessee Fire,35,5,3.45
3,Bruadar Liqueur Miniature,22,5,3.25
4,Merlyn Liqueur Miniature,17,5,3.25
5,Southern Comfort Liqueur Miniature,35,5,2.25
6,Hebridean Whisky Liqueur Miniature,20,5,3.75
7,Drambuie Whisky Liqueur Miniature,40,5,1.95
8,Jack Daniel's Tennessee Honey Liqueur Miniature,35,5,3.45
9,Jack Daniel's Tennessee Fire,35,5,3.45
10,Bruadar Liqueur Miniature,22,5,3.25
11,Merlyn Liqueur Miniature,17,5,3.25
12,Southern Comfort Liqueur Miniature,35,5,2.25
13,Hebridean Whisky Liqueur Miniature,20,5,3.75
14,Drambuie Whisky Liqueur Miniature,40,5,1.95
15,Jack Daniel's Tennessee Honey Liqueur Miniature,35,5,3.45
16,Jack Daniel's Tennessee Fire,35,5,3.45
17,Bruadar Liqueur Miniature,22,5,3.25
18,Merlyn Liqueur Miniature,17,5,3.25
19,Southern Comfort Liqueur Miniature,35,5,2.25
20,Hebridean Whisky Liqueur Miniature,20,5,3.75
21,Drambuie Whisky Liqueur Miniature,40,5,1.95
22,Jack Daniel's Tennessee Honey Liqueur Miniature,35,5,3.45
23,Jack Daniel's Tennessee Fire,35,5,3.45
24,Bruadar Liqueur Miniature,22,5,3.25
25,Merlyn Liqueur Miniature,17,5,3.25
26,Southern Comfort Liqueur Miniature,35,5,2.25
27,Hebridean Whisky Liqueur Miniature,20,5,3.75
28,Drambuie Whisky Liqueur Miniature,40,5,1.95
29,Jack Daniel's Tennessee Honey Liqueur Miniature,35,5,3.45
30,Jack Daniel's Tennessee Fire,35,5,3.45
31,Bruadar Liqueur Miniature,22,5,3.25
32,Merlyn Liqueur Miniature,17,5,3.25
33,Southern Comfort Liqueur Miniature,35,5,2.25
34,Hebridean Whisky Liqueur Miniature,20,5,3.75
35,Drambuie Whisky Liqueur Miniature,40,5,1.95
36,Jack Daniel's Tennessee Honey Liqueur Miniature,35,5,3.45
37,Jack Daniel's Tennessee Fire,35,5,3.45
38,Bruadar Liqueur Miniature,22,5,3.25
39,Merlyn Liqueur Miniature,17,5,3.25
40,Southern Comfort Liqueur Miniature,35,5,2.25
41,Hebridean Whisky Liqueur Miniature,20,5,3.75
