,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Bruadar Malt Whisky Liqueur,24,70,24.95
1,Drambuie 15 Year Old Liqueur,43,50,26.95
2,Highland Nectar Scotch Whisky Liqueur,35,50,24.95
3,Stag's Breath Liqueur,19.8,70,17.95
4,Drambuie Whisky Liqueur,40,70,29.95
5,Jack Daniel's Tennessee Honey Whiskey Liqueur,35,70,21.95
6,Glayva Liqueur,35,50,18.95
7,Old Pulteney Stroma Malt Whisky Liqueur,35,50,21.95
8,Southern Comfort,50,70,28.25
9,Coole Swan,16,70,24.95
10,Wild Turkey American Honey Liqueur,35.5,70,23.95
11,Edradour Cream Liqueur,17,70,17.95
12,Arran Gold Malt Cream Liqueur,17,70,18.95
13,Irish Velvet Liqueur,20,50,17.95
14,Merlyn Welsh Cream Liqueur,17,70,14.95
15,The Dubliner Irish Whiskey Liqueur,30,70,20.45
16,Jack Daniel's Tennessee Apple,35,70,21.95
17,Sacred English Whisky Liqueur,40,70,37.45
18,Tunbridge Wells Liqueur Co. Maple Whiskey Liqueur,29.9,50,31.95
19,Revel Stoke Spiced Whisky Liqueur,45,75,33.95
20,Fireball Cinnamon Whisky Liqueur,33,70,19.95
21,William Shakespeare Whisky Liqueur,20,50,24.95
22,Sheep Dog Peanut Butter Whiskey Liqueur,35,70,22.75
23,Smokehouse Rock and Rye,41.5,50,33.25
24,Bruadar Malt Whisky Liqueur,24,70,24.95
25,Drambuie 15 Year Old Liqueur,43,50,26.95
26,Highland Nectar Scotch Whisky Liqueur,35,50,24.95
27,Stag's Breath Liqueur,19.8,70,17.95
28,Drambuie Whisky Liqueur,40,70,29.95
29,Jack Daniel's Tennessee Honey Whiskey Liqueur,35,70,21.95
30,Glayva Liqueur,35,50,18.95
31,Old Pulteney Stroma Malt Whisky Liqueur,35,50,21.95
32,Southern Comfort,50,70,28.25
33,Coole Swan,16,70,24.95
34,Wild Turkey American Honey Liqueur,35.5,70,23.95
35,Edradour Cream Liqueur,17,70,17.95
36,Arran Gold Malt Cream Liqueur,17,70,18.95
37,Irish Velvet Liqueur,20,50,17.95
38,Merlyn Welsh Cream Liqueur,17,70,14.95
39,The Dubliner Irish Whiskey Liqueur,30,70,20.45
40,Jack Daniel's Tennessee Apple,35,70,21.95
41,Sacred English Whisky Liqueur,40,70,37.45
42,Tunbridge Wells Liqueur Co. Maple Whiskey Liqueur,29.9,50,31.95
43,Revel Stoke Spiced Whisky Liqueur,45,75,33.95
44,Fireball Cinnamon Whisky Liqueur,33,70,19.95
45,William Shakespeare Whisky Liqueur,20,50,24.95
46,Sheep Dog Peanut Butter Whiskey Liqueur,35,70,22.75
47,Smokehouse Rock and Rye,41.5,50,33.25
48,Norfolk Nog,19,50,21.95
49,Spirit Of Yorkshire Cream Liqueur,20,70,25.45
50,Stolen X Rock and Rye,35,70,25.25
51,Jack Daniel's Tennessee Fire,35,35,17.95
52,Mister Katz's Rock & Rye,32.5,70,36.45
53,Jack Daniel's Tennessee Honey Whiskey Liqueur,35,20,9.95
54,Yukon Jack Wicked Hot Liqueur,35,75,40.45
55,Lakeland Liqueur,20,50,19.75
56,Mackmyra Bee,22,50,27.95
57,Jack Daniel's Tennessee Fire,35,70,21.95
58,Irish Mist Liqueur,35,70,27.95
59,Norfolk Quince Whisky Liqueur,20,50,21.95
60,Highland Nectar Scotch Whisky Liqueur Miniature,35,5,4.45
61,Drambuie Whisky Liqueur,40,68,225
62,Jim Beam Honey (32.5%),32.5,70,22.95
63,Black Irish Whiskey with Stout,40,70,32.25
64,Jim Beam Red Stag Black Cherry (32.5%),32.5,70,20.95
65,Irish Mist Liqueur,37,68,225
66,Southern Comfort Black,40,70,24.75
67,Cotswolds Cream Liqueur,17,70,23.95
68,Serravinci Cioccowhisky Liqueur,17,50,18.45
69,Drambuie Whisky Liqueur,40,75,225
70,Chesky Cherry Whisky,28,75,250
71,Jim Beam Apple,32.5,70,22.25
72,Buffalo Trace Bourbon Cream,15,75,17.95
73,Southern Comfort,35,70,21.95
74,Yukon Jack Jacapple Liqueur,35,75,40.45
75,Hebridean Whisky Liqueur,20,50,18.75
76,Drambuie Whisky Liqueur,40,100,225
77,Drambuie Whisky Liqueur,40,68,250
78,Drambuie Whisky Liqueur,40,75,550
79,Drambuie Whisky Liqueur,40,100,225
80,Jack Daniel's Tennessee Honey Whiskey Liqueur,35,35,14.25
81,Drambuie Whisky Liqueur,40,68,225
82,Jack Daniel's Tennessee Honey Liqueur,35,100,43.75
83,Drambuie Jacobite 45 Year Old,40,70,"2,500"
84,Bruadar Malt Whisky Liqueur,24,70,24.95
85,Drambuie 15 Year Old Liqueur,43,50,26.95
86,Highland Nectar Scotch Whisky Liqueur,35,50,24.95
87,Stag's Breath Liqueur,19.8,70,17.95
88,Drambuie Whisky Liqueur,40,70,29.95
89,Jack Daniel's Tennessee Honey Whiskey Liqueur,35,70,21.95
90,Glayva Liqueur,35,50,18.95
91,Old Pulteney Stroma Malt Whisky Liqueur,35,50,21.95
92,Southern Comfort,50,70,28.25
93,Coole Swan,16,70,24.95
94,Wild Turkey American Honey Liqueur,35.5,70,23.95
95,Edradour Cream Liqueur,17,70,17.95
96,Arran Gold Malt Cream Liqueur,17,70,18.95
97,Irish Velvet Liqueur,20,50,17.95
98,Merlyn Welsh Cream Liqueur,17,70,14.95
99,The Dubliner Irish Whiskey Liqueur,30,70,20.45
100,Jack Daniel's Tennessee Apple,35,70,21.95
101,Sacred English Whisky Liqueur,40,70,37.45
102,Tunbridge Wells Liqueur Co. Maple Whiskey Liqueur,29.9,50,31.95
103,Revel Stoke Spiced Whisky Liqueur,45,75,33.95
104,Fireball Cinnamon Whisky Liqueur,33,70,19.95
105,William Shakespeare Whisky Liqueur,20,50,24.95
106,Sheep Dog Peanut Butter Whiskey Liqueur,35,70,22.75
107,Smokehouse Rock and Rye,41.5,50,33.25
108,Bruadar Malt Whisky Liqueur,24,70,24.95
109,Drambuie 15 Year Old Liqueur,43,50,26.95
110,Highland Nectar Scotch Whisky Liqueur,35,50,24.95
111,Stag's Breath Liqueur,19.8,70,17.95
112,Drambuie Whisky Liqueur,40,70,29.95
113,Jack Daniel's Tennessee Honey Whiskey Liqueur,35,70,21.95
114,Glayva Liqueur,35,50,18.95
115,Old Pulteney Stroma Malt Whisky Liqueur,35,50,21.95
116,Southern Comfort,50,70,28.25
117,Coole Swan,16,70,24.95
118,Wild Turkey American Honey Liqueur,35.5,70,23.95
119,Edradour Cream Liqueur,17,70,17.95
120,Arran Gold Malt Cream Liqueur,17,70,18.95
121,Irish Velvet Liqueur,20,50,17.95
