,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Paul John Oloroso Cask Select Miniature,48,5,6.25
1,Penderyn Miniature,46,5,5.95
2,Paul John Bold,46,5,4.45
3,"The English Original, Smokey,Sherry Cask Miniature Gift Pack",47.5,15,23.95
4,Penderyn Legend,41,5,5.45
5,Mackmyra Brukswhisky Miniature,41.4,5,7.95
6,Paul John Peated Select Cask,55.5,5,5.75
7,Paul John Brilliance Miniature,46,5,4.45
8,Paul John Pedro Ximenez Cask Select Miniature,48,5,6.25
9,Paul John Nirvana Miniature,40,5,3.45
10,Paul John Edited,46,5,4.45
11,Paul John Classic Select Cask,55.2,5,5.75
12,Penderyn Madeira Gift Pack,46,10,14.95
13,World Whisky Advent Calendar,44.7,72,139
14,Paul John Oloroso Cask Select Miniature,48,5,6.25
15,Penderyn Miniature,46,5,5.95
16,Paul John Bold,46,5,4.45
17,"The English Original, Smokey,Sherry Cask Miniature Gift Pack",47.5,15,23.95
18,Penderyn Legend,41,5,5.45
19,Mackmyra Brukswhisky Miniature,41.4,5,7.95
20,Paul John Peated Select Cask,55.5,5,5.75
21,Paul John Brilliance Miniature,46,5,4.45
22,Paul John Pedro Ximenez Cask Select Miniature,48,5,6.25
23,Paul John Nirvana Miniature,40,5,3.45
24,Paul John Edited,46,5,4.45
25,Paul John Classic Select Cask,55.2,5,5.75
26,Penderyn Madeira Gift Pack,46,10,14.95
27,World Whisky Advent Calendar,44.7,72,139
28,Paul John Oloroso Cask Select Miniature,48,5,6.25
29,Penderyn Miniature,46,5,5.95
30,Paul John Bold,46,5,4.45
31,"The English Original, Smokey,Sherry Cask Miniature Gift Pack",47.5,15,23.95
32,Penderyn Legend,41,5,5.45
33,Mackmyra Brukswhisky Miniature,41.4,5,7.95
34,Paul John Peated Select Cask,55.5,5,5.75
35,Paul John Brilliance Miniature,46,5,4.45
36,Paul John Pedro Ximenez Cask Select Miniature,48,5,6.25
37,Paul John Nirvana Miniature,40,5,3.45
38,Paul John Edited,46,5,4.45
39,Paul John Classic Select Cask,55.2,5,5.75
40,Penderyn Madeira Gift Pack,46,10,14.95
41,World Whisky Advent Calendar,44.7,72,139
42,Paul John Oloroso Cask Select Miniature,48,5,6.25
43,Penderyn Miniature,46,5,5.95
44,Paul John Bold,46,5,4.45
45,"The English Original, Smokey,Sherry Cask Miniature Gift Pack",47.5,15,23.95
46,Penderyn Legend,41,5,5.45
47,Mackmyra Brukswhisky Miniature,41.4,5,7.95
48,Paul John Peated Select Cask,55.5,5,5.75
49,Paul John Brilliance Miniature,46,5,4.45
50,Paul John Pedro Ximenez Cask Select Miniature,48,5,6.25
51,Paul John Nirvana Miniature,40,5,3.45
52,Paul John Edited,46,5,4.45
53,Paul John Classic Select Cask,55.2,5,5.75
54,Penderyn Madeira Gift Pack,46,10,14.95
55,World Whisky Advent Calendar,44.7,72,139
56,Paul John Oloroso Cask Select Miniature,48,5,6.25
57,Penderyn Miniature,46,5,5.95
58,Paul John Bold,46,5,4.45
59,"The English Original, Smokey,Sherry Cask Miniature Gift Pack",47.5,15,23.95
60,Penderyn Legend,41,5,5.45
61,Mackmyra Brukswhisky Miniature,41.4,5,7.95
62,Paul John Peated Select Cask,55.5,5,5.75
63,Paul John Brilliance Miniature,46,5,4.45
64,Paul John Pedro Ximenez Cask Select Miniature,48,5,6.25
65,Paul John Nirvana Miniature,40,5,3.45
66,Paul John Edited,46,5,4.45
67,Paul John Classic Select Cask,55.2,5,5.75
68,Penderyn Madeira Gift Pack,46,10,14.95
69,World Whisky Advent Calendar,44.7,72,139
70,Paul John Oloroso Cask Select Miniature,48,5,6.25
71,Penderyn Miniature,46,5,5.95
72,Paul John Bold,46,5,4.45
73,"The English Original, Smokey,Sherry Cask Miniature Gift Pack",47.5,15,23.95
74,Penderyn Legend,41,5,5.45
75,Mackmyra Brukswhisky Miniature,41.4,5,7.95
76,Paul John Peated Select Cask,55.5,5,5.75
77,Paul John Brilliance Miniature,46,5,4.45
78,Paul John Pedro Ximenez Cask Select Miniature,48,5,6.25
79,Paul John Nirvana Miniature,40,5,3.45
80,Paul John Edited,46,5,4.45
81,Paul John Classic Select Cask,55.2,5,5.75
82,Penderyn Madeira Gift Pack,46,10,14.95
83,World Whisky Advent Calendar,44.7,72,139
