,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,White Peak Wire Works First Release Sample,50.3,3,6.75
1,The Lakes The Whiskymaker's Editions Mosaic Sample,46.6,3,7.45
2,Penderyn 6 Year Old Sample,50.4,3,7.75
3,Stauning Peated Single Malt Sample,47,3,7.75
4,English Whisky Co 12 Year Old Sample,63.4,3,8.95
5,Amrut Peated Port Pipe 2013 Sample,60,3,14.95
6,Armorik 10 Year Old Sample,46,3,5.75
7,Aber Falls Distillers Cut,46,3,6.75
8,Bimber Spirit of the Underground Oxford Circus Sample,58.8,3,9.95
9,Bimber Spirit of the Underground Baker Street Sample,58.1,3,9.95
10,Oxford Rye Whisky 002 Sample,47.4,3,8.45
11,Starward Fortis Single Malt Sample,50,3,6.25
12,Starward Left Field Single Malt Sample,40,3,4.75
13,Kavalan Sherry Oak Sample,46,3,8.75
14,Mackmyra Prestige Sample,46.1,3,8.95
15,Cotswolds 3 Year Old Sample,50.4,3,7.25
16,Adnams 7 Year Old Sample,50,3,6.75
17,Amrut Fusion X Sample,50,3,23.95
18,Starward 2016 Sample,57,3,7.95
19,Mackmyra Moment Efva Sample,46.3,3,8.95
20,Bimber Spirit of the Underground King's Cross Sample,58.5,3,9.95
21,Non-Traditional Grains Whisky Tasting Set,43.5,12,24.95
22,Seven Seals Port Wood Finish Sample,46,3,7.25
23,Milk & Honey Israeli Whisky Tasting Set,44.7,18,44.95
24,White Peak Wire Works First Release Sample,50.3,3,6.75
25,The Lakes The Whiskymaker's Editions Mosaic Sample,46.6,3,7.45
26,Penderyn 6 Year Old Sample,50.4,3,7.75
27,Stauning Peated Single Malt Sample,47,3,7.75
28,English Whisky Co 12 Year Old Sample,63.4,3,8.95
29,Amrut Peated Port Pipe 2013 Sample,60,3,14.95
30,Armorik 10 Year Old Sample,46,3,5.75
31,Aber Falls Distillers Cut,46,3,6.75
32,Bimber Spirit of the Underground Oxford Circus Sample,58.8,3,9.95
33,Bimber Spirit of the Underground Baker Street Sample,58.1,3,9.95
34,Oxford Rye Whisky 002 Sample,47.4,3,8.45
35,Starward Fortis Single Malt Sample,50,3,6.25
36,Starward Left Field Single Malt Sample,40,3,4.75
37,Kavalan Sherry Oak Sample,46,3,8.75
38,Mackmyra Prestige Sample,46.1,3,8.95
39,Cotswolds 3 Year Old Sample,50.4,3,7.25
40,Adnams 7 Year Old Sample,50,3,6.75
41,Amrut Fusion X Sample,50,3,23.95
42,Starward 2016 Sample,57,3,7.95
43,Mackmyra Moment Efva Sample,46.3,3,8.95
44,Bimber Spirit of the Underground King's Cross Sample,58.5,3,9.95
45,Non-Traditional Grains Whisky Tasting Set,43.5,12,24.95
46,Seven Seals Port Wood Finish Sample,46,3,7.25
